BOOK_SERIAL_NUMBER;BOOK_TYPE;BOOK_NAME;BOOK_NAME_TRANSLATED_ENGLISH;BOOK_URL;BOOK_NAME_ENGLISH_TRANSLITERATED;BOOK_URL_HOME;PDF_URLS;NUM_MAX_PAGES
BOOK_SERIALNUM_1;Text Book Version;GAYATRI KI DAINIK SADHna;GAYATRI KI DAINIK SADHNA;http://literature.awgp.org/book/gayatri_ki_dainik_sadhnaa/v1.1;GAYATRI KI DAINIK sadhana;http://literature.awgp.org/book/gayatri_ki_dainik_sadhnaa/v1;;
BOOK_SERIALNUM_2;Text Book Version;anachar se kaise nipte;how to deal with anachar;http://literature.awgp.org/book/anachar_se_kaise_nipate/v2.1;anachar se kise nipte;http://literature.awgp.org/book/anachar_se_kaise_nipate/v2;;http://literature.awgp.org/book/anachar_se_kaise_nipate/v2.6
BOOK_SERIALNUM_3;Text Book Version;dampatyajivan me swarg ka awtaran;Incarnation of heaven in married life;http://literature.awgp.org/book/dampatyajivan_me_swarg_ka_awtaran/v1.1;dampatyajivan me swarg k awtaran;http://literature.awgp.org/book/dampatyajivan_me_swarg_ka_awtaran/v1;;http://literature.awgp.org/book/dampatyajivan_me_swarg_ka_awtaran/v1.5
BOOK_SERIALNUM_4;Text Book Version;gayatri dwarabhautik safaltaye;gayatri dwarabhautik safaltaye;http://literature.awgp.org/book/gayatri_dwara_bhautik_safaltaye/v1.1;gayatri dwarabhutik safaltaye;http://literature.awgp.org/book/gayatri_dwara_bhautik_safaltaye/v1;;
BOOK_SERIALNUM_5;Text Book Version;gayatri ke pratyaksh chamatkar;Gayatri ke Pratyaksh Chamatkar;http://literature.awgp.org/book/gayatri_ke_pratyaksh_chamatkar/v1.1;gayatri ke pratyaksh chamatkar;http://literature.awgp.org/book/gayatri_ke_pratyaksh_chamatkar/v1;;http://literature.awgp.org/book/gayatri_ke_pratyaksh_chamatkar/v1.18
BOOK_SERIALNUM_6;Text Book Version;gayatri yagya vidhaan;gayatri yagya vidhaan;http://literature.awgp.org/book/gayatri_yagya_vidhaan/v1.1;gayatri yagya vidhaan;http://literature.awgp.org/book/gayatri_yagya_vidhaan/v1;;
BOOK_SERIALNUM_7;Text Book Version;gytri yagya vidhan part 2;gytri yagya vidhan part 2;http://literature.awgp.org/book/gayatree_yajn_vidhan/v2.1;gytri yagya vidhan part 2;http://literature.awgp.org/book/gayatree_yajn_vidhan/v2;;http://literature.awgp.org/book/gayatree_yajn_vidhan/v2.15
BOOK_SERIALNUM_8;Scan Book Version;karam kand kyun aur kaise;why and how;http://literature.awgp.org/book/karam_kand_kyun_aur_kaise/v1.1;karam kand kyun aur kise;http://literature.awgp.org/book/karam_kand_kyun_aur_kaise/v1;;
BOOK_SERIALNUM_9;Scan Book Version;sanjivani vidya ka vistar;expansion of sanjivani vidya;http://literature.awgp.org/book/Sanjiwani_Vidhya_Ka_Vistar/v5.1;sanjivani vidy k vistar;http://literature.awgp.org/book/Sanjiwani_Vidhya_Ka_Vistar/v5;http://literature.awgp.org/var/node/78095/Sanjivani_Vidhya_Ka_Vistar.pdf;http://literature.awgp.org/book/Sanjiwani_Vidhya_Ka_Vistar/v5.32
BOOK_SERIALNUM_10;Text Book Version;striyon ki gayatree sadhna;women's gayatree sadhna;http://literature.awgp.org/striyon_ki_gayatree_sadhna.1;striyon ki gayatri sadhana;http://literature.awgp.org/striyon_ki_gayatree_sadhna;;
BOOK_SERIALNUM_11;Text Book Version;test;test;http://literature.awgp.org/book/v1.1;test;http://literature.awgp.org/book/v1;;
BOOK_SERIALNUM_12;Scan Book Version;v2;v2;http://literature.awgp.org/book/sachitra_gayatri_shiksha_/.1;v2;http://literature.awgp.org/book/sachitra_gayatri_shiksha_/;;
BOOK_SERIALNUM_13;Text Book Version;yagyapavit dwara dharm arth kaam moksh ki prapt;Yagyapavit dwara dharm arth kaam moksh ki prapat;http://literature.awgp.org/book/yagyapavit_dwara_dharm_arth_kaam_moksh_ki_prapt/v1.1;yagyaapavit dwar dharm arth kaam moksh ki prapt;http://literature.awgp.org/book/yagyapavit_dwara_dharm_arth_kaam_moksh_ki_prapt/v1;;http://literature.awgp.org/book/yagyapavit_dwara_dharm_arth_kaam_moksh_ki_prapt/v1.8
BOOK_SERIALNUM_14;Scan Book Version;अंत:शक्ति के उभार एवं चमत्कार;Emergence and Miracles of Inner Power;http://literature.awgp.org/book/antahashakti_ke_ubhar/v1.1;anta:shakti ke ubhaar evan chamatakaar;http://literature.awgp.org/book/antahashakti_ke_ubhar/v1;http://literature.awgp.org/var/node/2012/Antahshakti_Ke_Ubhar_Aur_Chamatkar.pdf;http://literature.awgp.org/book/antahashakti_ke_ubhar/v1.40
