WORLDLENGTH,WORD
1,a
1,b
1,c
1,d
1,e
1,f
1,g
1,h
1,i
1,j
1,k
1,l
1,m
1,n
1,o
1,p
1,q
1,r
1,s
1,t
1,u
1,v
1,w
1,x
1,y
1,z
2,aa
2,ab
2,ac
2,ad
2,ae
2,af
2,ag
2,ah
2,ai
2,aj
2,ak
2,al
2,am
2,an
2,ap
2,ar
2,as
2,at
2,au
2,av
2,aw
2,az
2,ba
2,bb
2,bc
2,bd
2,be
2,bg
2,bi
2,bk
2,bl
2,bm
2,bo
2,bp
2,br
2,bs
2,bt
2,bw
2,by
2,ca
2,cb
2,cc
2,cd
2,ce
2,cf
2,cg
2,ch
2,ci
2,cj
2,cl
2,cm
2,cn
2,co
2,cp
2,cr
2,cs
2,ct
2,cu
2,cv
2,cw
2,cz
2,da
2,db
2,dc
2,dd
2,de
2,df
2,dg
2,dh
2,di
2,dj
2,dk
2,dl
2,dm
2,do
2,dp
2,dr
2,ds
2,dt
2,du
2,dv
2,dx
2,ea
2,ec
2,ed
2,ee
2,ef
2,eg
2,eh
2,el
2,em
2,en
2,ep
2,eq
2,er
2,es
2,et
2,eu
2,ev
2,ex
2,ez
2,fa
2,fc
2,fd
2,fe
2,ff
2,fg
2,fi
2,fl
2,fm
2,fo
2,fp
2,fr
2,fs
2,ft
2,fu
2,fw
2,fx
2,fy
2,ga
2,gb
2,gc
2,gd
2,ge
2,gg
2,gi
2,gl
2,gm
2,go
2,gp
2,gr
2,gs
2,gt
2,ha
2,hb
2,hc
2,hd
2,he
2,hh
2,hi
2,hk
2,hl
2,ho
2,hp
2,hq
2,hr
2,hs
2,ht
2,hu
2,hz
2,ia
2,ic
2,id
2,ie
2,if
2,ii
2,il
2,im
2,in
2,io
2,ip
2,ir
2,is
2,it
2,iv
2,ix
2,ja
2,jc
2,jd
2,je
2,jj
2,jm
2,jo
2,jp
2,jr
2,js
2,ka
2,kb
2,kg
2,km
2,ko
2,ks
2,kw
2,ky
2,la
2,lb
2,lc
2,ld
2,le
2,lf
2,lg
2,li
2,ll
2,lm
2,ln
2,lo
2,lp
2,ls
2,lt
2,lu
2,ma
2,mb
2,mc
2,md
2,me
2,mf
2,mg
2,mh
2,mi
2,mj
2,ml
2,mm
2,mn
2,mo
2,mp
2,mr
2,ms
2,mt
2,mu
2,mv
2,mw
2,mx
2,my
2,na
2,nb
2,nc
2,nd
2,ne
2,ng
2,nh
2,ni
2,nj
2,nl
2,nm
2,nn
2,no
2,np
2,nr
2,ns
2,nt
2,nu
2,nv
2,nw
2,ny
2,nz
2,ob
2,oc
2,oe
2,of
2,og
2,oh
2,ok
2,ol
2,om
2,on
2,oo
2,op
2,or
2,os
2,ot
2,ou
2,oz
2,pa
2,pb
2,pc
2,pd
2,pe
2,pf
2,pg
2,ph
2,pi
2,pj
2,pk
2,pl
2,pm
2,pn
2,po
2,pp
2,pr
2,ps
2,pt
2,qc
2,qt
2,ra
2,rb
2,rc
2,rd
2,re
2,rf
2,rg
2,rh
2,ri
2,rj
2,rl
2,rm
2,rn
2,ro
2,rp
2,rr
2,rs
2,rt
2,ru
2,rv
2,rw
2,rx
2,sa
2,sb
2,sc
2,sd
2,se
2,sf
2,sg
2,sh
2,si
2,sk
2,sl
2,sm
2,sn
2,so
2,sp
2,sq
2,sr
2,ss
2,st
2,su
2,sv
2,sw
2,ta
2,tb
2,tc
2,td
2,te
2,tf
2,th
2,ti
2,tm
2,tn
2,to
2,tp
2,tr
2,ts
2,tt
2,tu
2,tv
2,tx
2,ty
2,uc
