URL,PREPTIME_H,PREPTIME_M,COOKTIME_H,COOKTIME_M,TOTALTIME_H,TOTALTIME_M,SERVINGS,CATEGORY,CUISINE,CALORIES,CALORIES_SERVINGS,KEYWORDS
http://localhost:1313/carrot-garlic-triangle-paratha-carrot-garlic-flatbread/,0,10,0,25,0,35,4,Side,Indian,87,1 Paratha,"carrot paratha recipe, carrot ka paratha, recipe of carrot paratha, carrot paratha without stuffing, how to make carrot paratha, gajar ka paratha ki recipe"
http://localhost:1313/chana-dal-capsicum-curry-vegetarian-recipe/,0,10,0,30,0,40,4,Side,Indian,61,1 Serving,"capsicum chana dal curry, capsicum chana dal recipe, chana dal with capsicum, capsicum chana dal curry, chana dal bell pepper curry, dal capsicum, "
http://localhost:1313/cheesy-blueberry-halwa-recipe/,0,2,0,20,0,22,4,Dessert,Indian,280,1 Serving,"blueberry halwa recipe, buleberry rava sheera, blueberry suji halwa, blueberry rava halwa, berry halwa,"
http://localhost:1313/classic-potato-bell-pepper-stir-fry/,0,10,0,20,0,30,4,Side,Indian,317,1 Serving,"potato bell pepper curry, potato bell pepper indian recipe, potato bell pepper sabzi, potato with bell peppers vegetable recipe, bell pepper and potato indian recipes, 	potato bell pepper recipe, potato capsicum fry, potato capsicum masala, potato capsicum sabji"
http://localhost:1313/cornmeal-idli-makki-ki-idli-recipe/,0,10,0,20,0,30,16 idlis,Breakfast,Indian,50,1 Idli,"cornmeal idli recipe, makki ki idli, makki ki idli kaise banaye, corn meal idli, instant cornmeal idli, instant healthy idli, south indian breakfast recipe"
http://localhost:1313/creamy-cappuccino-chocolate-lassi-signature-recipe/,0,5,0,2,0,7,4,Drinks,World,280,1 Serving,"cappucinno chocolate lassi, coffee lassi, chocolate lassi, indian lassi drink, how to make coffee lassi"
http://localhost:1313/curry-recipe-creamy-mushroom-matar-curry-dash-cardamom/,0,5,0,30,0,35,4,Side,Indian,120,1 Serving,"mushroom matar ki sabji, mushroom matar curry, 	mushroom matar masala, mushroom matar mushroom, mushroom matar bhaji, mushroom matar curry recipe, mushroom matar cream, mushroom matar easy recipe, recipe for matar mushroom "
http://localhost:1313/dark-chocolate-chunk-cookies-recipes/,0,10,0,15,0,25,12 cookies,Breakfast,World,40,1 Serving,"dark chocolate cookies recipe, dark chocolate cookies healthy, dark chocolate cookie crust, deep dark chocolate cookies, dark chocolate cookies easy"
http://localhost:1313/dessert-recipes-oat-strawberry-kheer-oat-strawberry-pudding/,0,5,0,15,0,20,4,Dessert,Indian,200,1 Serving,"oat straweberry kheer, oats ki kheer,  making oats kheer recipe, strawberry kheer, oats pudding, oats kheer weight loss"
http://localhost:1313/fruity-blueberry-strawberry-pulav-rice-signature-recipe/,0,5,0,30,0,35,6,Side,Indian,80,1 Serving,"blueberry pulao, strawberry pulao, indian pulav recipe, vegetarian pulao, blueberry strawberry rice recipe"
