URL,RECIPE_TITLE,RECIPE_AUTHOR,RECIPE_DATE,RECIPE_FEATURED_IMAGE,RECIPE_FILENAME,RECIPE_DESCRIPTION
"http://localhost:1313/watermelon-onion-yogurt-chip-dip/","Watermelon Onion Yogurt Chip Dip | Watermelon Raita Recipe","Anupama Paliwal","2019-04-29 11:03:46","/wp-content/uploads/2015/06/recipe-watermelon-onion-dip-for-chips-anupama-paliwal-my-ginger-garlic-kitchen-5.jpg","/Users/anu/GitHub/2019-HUGO-MGGK-WEBSITE-OFFICIAL/content/blog/_DONE_2_easyrecipe/20190429-2018-04-29-watermelon-onion-yogurt-chip-dip.md","Learn to make Watermelon Onion Yogurt Chip Dip | Watermelon Raita Recipe — This watermelon onion yogurt chip dip is indeed a light and refreshing classic dip perfect for hot days. The grated watermelon oozing sweet juice adds so much flavor and natural sweetness. And onion adds the perfect crunch."
"http://localhost:1313/vanilla-iced-mocha-coffee-ice-cubes-video/","Vanilla Iced Mocha With Coffee Ice Cubes | Video","Anupama Paliwal","2018-06-01 13:57:03","/wp-content/uploads/2016/06/recipes-Vanilla-Iced-Mocha-With-Coffee-Ice-Cubes-anupama-paliwal-my-ginger-garlic-kitchen-FI.jpg","/Users/anu/GitHub/2019-HUGO-MGGK-WEBSITE-OFFICIAL/content/blog/_DONE_2_easyrecipe/20180601-2016-06-01-vanilla-iced-mocha-coffee-ice-cubes-video.md","Vanilla Iced Mocha With Coffee Ice Cubes is a coffee which is classic, creamy, cold, frothy, creamy, heavy on vanilla, and stronger on coffee taste, but still a bit sweeter due to milk. 3 simple things, coffee + milk + vanilla = an amazingly delish iced coffee."
"http://localhost:1313/kopra-pak-nariyal-ki-burfi-video-recipe/","Kopra Pak | Nariyal Ki Burfi | Khopra Pak Video Recipe","Anupama Paliwal","2018-10-17 15:16:52","/wp-content/uploads/2017/01/recipes-kopra-pak-nariyal-ki-burfi-anupama-paliwal-my-ginger-garlic-kitchen-FI.jpg","/Users/anu/GitHub/2019-HUGO-MGGK-WEBSITE-OFFICIAL/content/blog/_DONE_2_easyrecipe/20181017-2017-10-17-kopra-pak-nariyal-ki-burfi-video-recipe.md","Kopra Pak | Nariyal Ki Burfi | Khopra Pak is a very sophisticatedly and delicately flavored coconut sweet/mithai. It has intense coconut flavor and an amazing texture."
"http://localhost:1313/szechuan-spiced-carrot-fettuccine-video-recipe/","Szechuan Spiced Carrot Fettuccine | VIDEO RECIPE","Anupama Paliwal","2018-06-06 11:23:59","/wp-content/uploads/2016/06/title-recipes-Szechuan-Spiced-Carrot-Fettuccine-anupama-paliwal-my-ginger-garlic-kitchen-1recipes-Schezwan-Spiced-Carrot-Fettuccine-anupama-paliwal-my-ginger-garlic-kitchen-FI.jpg","/Users/anu/GitHub/2019-HUGO-MGGK-WEBSITE-OFFICIAL/content/blog/_DONE_2_easyrecipe/20180606-2016-06-06-szechuan-spiced-carrot-fettuccine-video-recipe.md","Szechuan Spiced Carrot Fettuccine is such a perfect light meal, be it for lunch or dinner. This is the most beautiful, mouthwatering, spicy, flavorful, vegan and gluten free fettuccine. And it packs so much flavor. The carrots are slightly crunchy and they are best when paired nicely with this spicy sauce. It has Szechuan sauce, veggies, zesty tahini garlic paste, hot sauce for some spicy goodness and some tomato ketchup for tang and sweetness."
"http://localhost:1313/instant-peach-jalebi-topped-with-whipped-cream-and-pistachio/","Instant Peach Jalebi Topped with Whipped Cream and Pistachio","Anupama Paliwal","2018-06-12 18:49:14","/wp-content/uploads/2015/09/recipe-Instant-Peach-Jalebi-Topped-with-Whipped-Cream-and-Peaches-anupama-paliwal-my-ginger-garlic-kitchen-FI.jpg","/Users/anu/GitHub/2019-HUGO-MGGK-WEBSITE-OFFICIAL/content/blog/_DONE_2_easyrecipe/20180612-2016-06-12-instant-peach-jalebi-topped-with-whipped-cream-and-pistachio.md","Instant Peach Jalebi Topped with Whipped Cream and Pistachio. Jalebi is a very popular and traditional Indian sweet dish, generally made on every Indian festival, celebrations and special occasions. No matter what's the age — everybody just loves these Jalebis."
"http://localhost:1313/corn-cream-cheese-flatbread-with-orange-vinaigrette-video/","Corn Cream Cheese Flatbread with Orange Vinaigrette | Video","Anupama Paliwal","2018-05-10 16:17:03","/wp-content/uploads/2016/05/recipes-Corn-Cream-Cheese-Flatbread-Orange-Vinaigrette-anupama-paliwal-my-ginger-garlic-kitchen-FI.jpg","/Users/anu/GitHub/2019-HUGO-MGGK-WEBSITE-OFFICIAL/content/blog/_DONE_2_easyrecipe/20180510-2016-05-10-corn-cream-cheese-flatbread-with-orange-vinaigrette-video.md","Corn Cream Cheese Flatbread with Orange Vinaigrette is a cheesy flatbread but different from pizza. The cream cheese is not baked like pizza, instead it is spread on flatbread along with parsley + basil pesto + honey + ground pepper + salt. Isn’t it making you drool already? It has all the goodness of cheese, fruits and veggies."
"http://localhost:1313/no-bake-strawberry-cheesecake-bites-video-recipe/","No Bake Strawberry Cheesecake Bites | Video Recipe","Anupama Paliwal","2018-09-12 14:42:58","/wp-content/uploads/2016/09/recipes-Strawberry-Cheesecake-Bites-anupama-paliwal-my-ginger-garlic-kitchen-FI.jpg","/Users/anu/GitHub/2019-HUGO-MGGK-WEBSITE-OFFICIAL/content/blog/_DONE_2_easyrecipe/20180912-2016-09-12-no-bake-strawberry-cheesecake-bites-video-recipe.md","With these No Bake Strawberry Cheesecake Bites, you don’t have to worry about finishing the whole cheesecake. But that doesn’t mean that I am saying we always have to stick with just one, or two, or three bites. But at least the option of eating less is there, right? Plus, they are no bake and they are perfectly bite sized. They also have just the right amount of strawberry cheesecake goodness in every single bite."
"http://localhost:1313/spiced-rice-lentils-with-grilled-pineapple-and-cucumber-honey-lemon-yogurt/","Spiced Rice Lentils with Grilled Pineapple And Cucumber Honey Lemon Yogurt","Anupama Paliwal","2018-08-05 10:18:53","/wp-content/uploads/2015/08/recipe-spiced-rice-lentils-with-grilled-pineapple-and-cucumber-honey-lemon-yogurt-and-honey-anupama-paliwal-my-ginger-garlic-kitchen-FI.jpg","/Users/anu/GitHub/2019-HUGO-MGGK-WEBSITE-OFFICIAL/content/blog/_DONE_2_easyrecipe/20180805-2015-08-05-spiced-rice-lentils-with-grilled-pineapple-and-cucumber-honey-lemon-yogurt.md","Spiced Rice Lentils aka khichdi with Grilled Pineapple And Cucumber Honey Lemon Yogurt is a vibrant platter full of good health and deliciousness. This khichdi is indeed mouthwatering as such without anything, but I like it best served with grilled pineapple and fruity yogurt! Mmmmm, no matter what I say, this meal is divine. This is AWESOME."
"http://localhost:1313/whole-wheat-peach-mushroom-pizza-with-feta-and-fresh-basil/","Whole-wheat Peach Mushroom Pizza with Feta and Fresh Basil","Anupama Paliwal","2018-09-08 14:15:26","/wp-content/uploads/2015/09/recipe-Wholewheat-Peac-hMushroom-Pizza-with-Feta-and-Fresh-Basil-anupama-paliwal-my-ginger-garlic-kitchen-FI.jpg","/Users/anu/GitHub/2019-HUGO-MGGK-WEBSITE-OFFICIAL/content/blog/_DONE_2_easyrecipe/20180908-2015-09-08-whole-wheat-peach-mushroom-pizza-with-feta-and-fresh-basil.md","Whole wheat Peach Mushroom Pizza with Feta and Fresh Basil. I rolled the dough and covered with a generous amount of regular pizza sauce. Then topped with lots of cheese. Also topped with peach slices, bell pepper, sliced mushrooms, and sliced onions. Again topped with some more cheese. Finally sprinkled some garlic powder and pepper powder."
"http://localhost:1313/chickpea-sweet-potato-burger-with-chipotle-aioli/","Chickpea Sweet Potato Burger with Chipotle Aioli","Anupama Paliwal","2019-03-28 12:52:28","/wp-content/uploads/2015/03/recipe-Chickpea-Sweetpotao-Burger-with-Chipotle-Aioli-anupama-paliwal-my-ginger-garlic-kitchen-FI.jpg","/Users/anu/GitHub/2019-HUGO-MGGK-WEBSITE-OFFICIAL/content/blog/_DONE_2_easyrecipe/20190324-2015-03-24-chickpea-sweet-potato-burger-with-chipotle-aioli.md","These are crispy edged, deliciously spiced, sweet potato-chickpea patties dipped in chipotle aioli. These veggie patties are full of awesome flavors."
