URL_NUM,URL_NAME,NLP_READING_TIME_IN_MINS_212WPM,BSOUP_NUMWORDS,NLP_NUMWORDS,META_YEARS_SINCE_FIRST_PUBLISHED,META_YEARS_SINCE_LAST_MODIFIED,NLP_FIRST_PUBLISHED_DATETIME,META_FIRST_PUBLISHED_DATE,META_LAST_MODIFIED_DATETIME,NLP_KEYWORDS
url1,https://www.concepro.com/,2.8,1310,597,0,0,None,Not found = first published time,Not found = last updated time,clients - digital - leads - million - customers - strategies - concepro - users - agency - active - sales - marketing
url2,https://www.concepro.com/about/,0.2,554,39,0,0,None,Not found = first published time,Not found = last updated time,clients - successful - solutions - philosophy - philosophyour - concepro - providing - service - profitable - servicewe - strong
url3,https://www.concepro.com/academy/,0.5,527,110,0,0,None,Not found = first published time,Not found = last updated time,business - resources - whos - academy - concepro - organizations - word - templates - download - whitepapers - sales - marketing
url4,https://www.concepro.com/archives/,0.2,470,33,0,0,None,Not found = first published time,Not found = last updated time,seo - archives - montharchives - media - subject - posts - postsarchives - pages - landing - social - lead - marketing
url5,https://www.concepro.com/blog/,0.4,126,93,0,0,None,Not found = first published time,Not found = last updated time,work - blog - upsellingcrosssellingshare - carefully - team - defined - process - think - needs - easy - sales
url6,https://www.concepro.com/contact/,0.2,447,40,0,0,None,Not found = first published time,Not found = last updated time,digital - know - send - touch - concepro - tap - lets - help - takes - simply - message - device - agency - sales - marketing
url7,https://www.concepro.com/downloads/,0.1,404,14,0,0,None,Not found = first published time,Not found = last updated time,statistics - digital - free - webinars - concepro - ebooks - tools - templates - resource - download - agency - sales - marketing - ultimate
url8,https://www.concepro.com/full-width-blog/,0.4,126,93,0,0,None,Not found = first published time,Not found = last updated time,digital - work - upsellingcrosssellingshare - concepro - carefully - team - defined - process - think - needs - easy - agency - sales - marketing
url9,https://www.concepro.com/infographic-21st-century-sales-wisdom-16-timeless-tips/,0.1,36,31,0.219,0.184,2019-08-21T16:23:03,2019-08-21T16:23:03,2019-09-03T09:55:20,site - tips - 21st - share - marketing - paste - 16 - tipsto - timeless - image - century - sales - infographic - wisdom
url10,https://www.concepro.com/infographic-how-to-design-awesome-visual-content/,0.4,94,87,0.247,0.184,2019-08-11T10:12:14,2019-08-11T10:12:14,2019-09-03T09:55:05,wwwconceprocom - design - success - text - right - start - visual - awesome - infographic - content
url11,https://www.concepro.com/infographic-how-to-make-successful-sales-in-just-10-easy-steps/,0.4,128,93,0.186,0.184,2019-09-02T17:18:58,2019-09-02T17:18:58,2019-09-03T09:54:59,work - successful - upsellingcrosssellingshare - steps - carefully - team - defined - process - think - needs - easy - sales - infographic
url12,https://www.concepro.com/list-powerful-hastags-digital-marketing-agency/,0.1,46,21,0.299,0.184,2019-07-23T14:58:44,2019-07-23T14:58:44,2019-09-03T09:55:34,digital - list - marketing - powerful - agencyheres - agency - hashtags - hastags
url13,https://www.concepro.com/meet-our-team/,0.2,465,48,0,0,None,Not found = first published time,Not found = last updated time,strategies - robust - oldfashioned - sustainable - team - transform - powerful - weak - executive - century - sales - processes
url14,https://www.concepro.com/portfolio/,0.4,639,76,0,0,None,Not found = first published time,Not found = last updated time,digital - whichever - concepro - value - way - trust - research - tailor - wonderful - agency - terms - sales - wanted - marketing - epid
url15,https://www.concepro.com/services/,0.4,917,89,0,0,None,Not found = first published time,Not found = last updated time,digital - wreaking - education - unpredictable - concepro - help - terrain - way - training - unprepared - agency - trainingthese - sales - marketing - understand
url16,https://www.concepro.com/services/analytics-business-intelligence/,1.5,704,311,0,0,None,Not found = first published time,Not found = last updated time,data - business - know - media - whats - concepro - gets - tell - services - opportunity - analytics - intelligence
url17,https://www.concepro.com/services/branding/,2.1,852,453,0,0,None,Not found = first published time,Not found = last updated time,digital - strong - questions - customers - need - concepro - brand - benefits - think - emotional - critical - does - agency - sales - marketing
url18,https://www.concepro.com/services/company-product-videos/,1.8,783,375,0,0,None,Not found = first published time,Not found = last updated time,advertising - digital - concepro - research - trying - video - youre - users - thats - agency - videos - promotional - sales - product - marketing
url19,https://www.concepro.com/services/digital-education-training/,1.3,689,286,0,0,None,Not found = first published time,Not found = last updated time,business - digital - programs - education - concepro - help - consumer - training - world - behavior - agency - navigate - sales - marketing - change
url20,https://www.concepro.com/services/graphic-design-neuromarketing/,1.3,689,286,0,0,None,Not found = first published time,Not found = last updated time,know - maximum - using - making - biases - process - graphic - material - science - design - neuromarketing
url21,https://www.concepro.com/services/marketing-and-sales-consulting/,3.2,1085,673,0,0,None,Not found = first published time,Not found = last updated time,digital - work - know - results - need - strategy - campaigns - consulting - best - advice - sales - marketing
url22,https://www.concepro.com/services/marketing-strategy/,1.6,736,333,0,0,None,Not found = first published time,Not found = last updated time,digital - brands - road - strategies - concepro - strategy - help - right - agency - today - consumers - sales - marketing - change
url23,https://www.concepro.com/services/mobile-marketing/,2.8,1008,604,0,0,None,Not found = first published time,Not found = last updated time,business - digital - devices - need - concepro - strategy - mobile - internet - tablets - users - ads - agency - sales - marketing
url24,https://www.concepro.com/services/web-designing-optimization/,1.8,699,385,0,0,None,Not found = first published time,Not found = last updated time,visitors - digital - website - websites - customers - concepro - needs - customer - web - services - agency - design - sales - marketing
