URL_NUM,URL_NAME,NLP_READING_TIME_IN_MINS_212WPM,BSOUP_NUMWORDS,NLP_NUMWORDS,META_YEARS_SINCE_FIRST_PUBLISHED,META_YEARS_SINCE_LAST_MODIFIED,NLP_FIRST_PUBLISHED_DATETIME,META_FIRST_PUBLISHED_DATE,META_LAST_MODIFIED_DATETIME,NLP_KEYWORDS,TITLE_TAG_VALUE,META_DESCRIPTION
url1,https://www.mygingergarlickitchen.com/,0.0,3,0,0,0,None,Not found = first published time,Not found = last updated time,hundreds - easy - ideas - meal,My Ginger Garlic Kitchen - Hundreds of Easy Meal Ideas,"Browse unlimited tested delicious recipes to make everyone happy. From Indian curry to souffle to vegans to picky eaters, we have got you covered."
url2,https://www.mygingergarlickitchen.com/11-incredible-kitchen-hacks-that-are-absolutely-amazing-video/,0.8,165,179,0.227,0.227,2023-11-06T03:25:19,2023-11-06T03:25:19,2023-11-06T03:25:19,tricks - kitchen - video - incredible - using - ginger - fresh - timeless - hacks - 11,11 Incredible Kitchen Hacks (Video),These 11 timeless and Incredible Kitchen Hacks would surely make your life easier.
url3,https://www.mygingergarlickitchen.com/14-delicious-chocolate-and-fruit-pairings-you-have-to-try/,6.1,1258,1287,0.216,0.216,2023-11-10T21:33:59,2023-11-10T21:33:59,2023-11-10T21:33:59,pairings - chocolate - delicious - try - dessert - pairing - flavors - treat - white - fruits - fruit - dark - milk - 14,14 Delicious Chocolate and Fruit Pairings You Have To Try,"Whether you want to celebrate a special occasion with a loved one or enjoy a treat for one, the fourteen combinations below will delight your taste buds."
url4,https://www.mygingergarlickitchen.com/15-minutes-creme-fraiche-raspberry-peas-lemony-pasta/,4.3,1218,903,0.189,0.189,2023-11-20T14:04:49,2023-11-20T14:04:49,2023-11-20T14:04:49,minutes - pasta - peas - warm - weekend - fraiche - creme - sauce - lemony - raspberries - 15 - love - summery - raspberry,15 Minutes Creme Fraiche Raspberry Peas Lemony Pasta,"When you are in a dilemma on what to eat, a warm or cold summery fruity 15 Minutes Creme Fraiche Raspberry Peas Lemony Pasta would do the magic."
url5,https://www.mygingergarlickitchen.com/15-minutes-no-oil-green-thai-curry-chow-mein-noodles/,6.0,1560,1276,0.249,0.249,2023-10-29T03:26:06,2023-10-29T03:26:06,2023-10-29T03:26:06,minutes - curry - light - thai - 15 - noodles - oil - chowmein - boil - green,"Thai Green Curry Chow-Mein Noodles Recipe + Video (15 minutes, No Oil)",This utterly delicious 15 minutes No Oil Green Thai Curry Chow-Mein Noodles is so simple to make. This is possibly one of the easiest weekday meals.
url6,https://www.mygingergarlickitchen.com/15-non-spooky-halloween-recipes/,0.7,585,140,0.249,0.249,2023-10-29T22:28:33,2023-10-29T22:28:33,2023-10-29T22:28:33,party - pie - halloween - trick - recipes - 15 - fun - scary - treats - pumpkin - nonspooky,15 Non-Spooky Halloween Recipes,We have collected 15 delightful non-spooky fun Halloween recipes for you. These not so scary Halloween treats are easy and there is no trick to make these.
url7,https://www.mygingergarlickitchen.com/16-flatbread-recipes-you-would-love-to-try/,0.6,649,135,0.178,0.178,2023-11-24T01:54:23,2023-11-24T01:54:23,2023-11-24T01:54:23,favorite - healthy - try - vegan - recipes - really - love - easy - quick - collection - 16 - vegetarian - flatbread,16 Flatbread Recipes You Would Love to Try,"The collection of these 16 Flatbread Recipes have healthy, vegetarian and vegan recipes. They are really easy and quick which anyone can make."
url8,https://www.mygingergarlickitchen.com/17-cooking-tips-ebook-download-page/,0.2,108,41,0.159,0.159,2023-12-01T15:42:17,2023-12-01T15:42:17,2023-12-01T15:42:17,share - welcome - cooking - free - food - tips - styling - thats - recipes - ya - download - tosread - thinking - copy - ebook - amazing,Download your copy of Amazing Cooking Tips (Free Ebook),Get your Free Amazing Cooking Tips Ebook by entering required details.
url9,https://www.mygingergarlickitchen.com/2-ingredient-chocolate-muffins/,6.7,1966,1429,0.203,0.203,2023-11-15T22:25:37,2023-11-15T22:25:37,2023-11-15T22:25:37,muffin - eggs - ingredient - chocolate - egg - recipe - 2ingredient - white - muffins - add,2-Ingredient Chocolate Muffins - Easy Chocolate Muffins,These rich and delicious 2-Ingredient Chocolate Muffins are made with eggs and chocolate. They make excellent guilt-free snack.
url10,https://www.mygingergarlickitchen.com/2-minute-veggie-sandwich/,7.9,2193,1677,0.26,0.26,2023-10-25T03:22:20,2023-10-25T03:22:20,2023-10-25T03:22:20,slice - sandwich - veggies - delicious - used - protein - easy - add - bread - 2minute - veggie,2-Minute Veggie Sandwich: A Quick and Easy Meal for Busy Days,Get your daily dose of veggies with this delicious and easy-to-make 2-minute veggie sandwich. Perfect for a quick lunch or snack.
url11,https://www.mygingergarlickitchen.com/25-chocolate-recipes-to-try-this-christmas/,1.5,1067,323,0.178,0.178,2023-11-24T19:02:54,2023-11-24T19:02:54,2023-11-24T19:02:54,chocolate - seriously - try - christmas - recipes - wish - 25 - holiday - treats - desserts - season,25 Chocolate Recipes to Try This Christmas,25 Chocolate Recipes to Try This Christmas
url12,https://www.mygingergarlickitchen.com/25-easy-and-delicious-diwali-sweet-recipes-you-must-try-this-year/,0.8,3288,166,0.164,0.164,2023-11-29T21:59:45,2023-11-29T21:59:45,2023-11-29T21:59:45,99 - diwali - ones - recipes - snack - list - loved - great - sweets - sweet,99 Diwali Sweet Recipes,Here we have made a list of 99 exquisite Diwali Sweet Recipes. These sweet recipes make a great addition to your Diwali sweet and snack table.
url13,https://www.mygingergarlickitchen.com/27-must-try-valentines-day-dessert-ideas/,1.1,1030,226,0.219,0.219,2023-11-09T17:13:58,2023-11-09T17:13:58,2023-11-09T17:13:58,eat - favorite - sharing - 27 - try - day - ideas - love - need - 2021 - valentines - little - sweet - desserts,27 Must Try Valentines Desserts Ideas for 2021,"I am sharing a collection of 27 desserts which are my favorite. We all need something classy and sweet to celebrate this valentine's day, right."
url14,https://www.mygingergarlickitchen.com/3-bean-thick-dal-makhani/,6.5,1877,1375,0.14,0.14,2023-12-08T20:11:00,2023-12-08T20:11:00,2023-12-08T20:11:00,curry - cook - dal - version - know - butter - cream - add - makhani - thick - bean,Three Bean Thick Dal Makhani (Step By Step) |  Easy Three Bean Curry,"3-Bean Thick Dal Makhani is a twisted version of authentic Dal Makhani which is a creamy, and flavorful curry. Slow cooking is the key to make it aromatic."
url15,https://www.mygingergarlickitchen.com/3-ingredients-no-bake-gingerbread-truffles-video-recipe/,6.9,1927,1465,0.252,0.252,2023-10-28T05:19:00,2023-10-28T05:19:00,2023-10-28T05:19:00,place - vanilla - plate - chocolate - sugar - gingerbread - truffles - cookie - recipe - cookies - need,Gingerbread Truffles Recipe,Chocolate coated Gingerbread Truffles are perfect Christmas treats. You can eat them yourself with family or can treat your friends with them as gifts.
url16,https://www.mygingergarlickitchen.com/38-diwali-savory-snacks-recipes-you-would-love-to-try/,0.8,3310,166,0.258,0.258,2023-10-26T20:41:39,2023-10-26T20:41:39,2023-10-26T20:41:39,mostliked - diwali - 97 - sharing - festival - range - snack - recipes - toothsome - snacks,97 Diwali Snack Recipes,"Be it Holi, Diwali or any other festival, a good range of snacks is a must. So we are sharing this compilation of 97 most-liked Diwali Snack Recipes with you."
url17,https://www.mygingergarlickitchen.com/4-ingredient-cheesy-garlicky-pesto-puff-pastry-swirls/,5.2,1394,1097,0.129,0.129,2023-12-12T02:46:33,2023-12-12T02:46:33,2023-12-12T02:46:33,swirls - cheese - pastry - puff - love - bites - garlic - need - super - pesto,Puff Pastry Cheese and Pesto Swirls Recipe (Easy Appetizer),"4-Ingredient Cheesy Garlicky Pesto Puff Pastry Swirls are so simple to cook. To make them you need some puff pastry, basil pesto, garlic powder and cheese."
url18,https://www.mygingergarlickitchen.com/4-ingredients-strawberry-cake-shake-video/,4.2,1095,890,0.227,0.227,2023-11-06T02:08:46,2023-11-06T02:08:46,2023-11-06T02:08:46,4ingredient - strawberry - sauce - milkshake - cream - love - ingredients - drinking - birthday - shake - cake,"Strawberry Cake Shake Recipe + Video (4-Ingredient, Easy to Make)",This ridiculously creamy and delicious 4 - Ingredients Strawberry Cake Shake is the best milkshake ever. You will love all of the textures in this milkshake.
url19,https://www.mygingergarlickitchen.com/5-bean-curry-recipe/,2.0,1061,425,0.159,0.159,2023-12-01T21:09:27,2023-12-01T21:09:27,2023-12-01T21:09:27,minutes - curry - cook - powder - tomato - multi - recipe - add - different - heat - beans - bean,5 Bean Curry Recipe (Step by Step) - How To Make Multi Beans Curry,This 5 Bean Curry is a healthy dish comes with the deliciousness of 5 different beans cooked in a creamy tangy tomato sauce along with whole bunch of spices.
url20,https://www.mygingergarlickitchen.com/5-easy-to-make-ramen-recipes-to-try-at-home/,5.1,1057,1086,0.205,0.205,2023-11-14T05:41:35,2023-11-14T05:41:35,2023-11-14T05:41:35,minutes - ramen - try - broth - recipes - sauce - water - noodles - add - easytomake - heat - chicken - pan,5 Easy-To-Make Ramen Recipes To Try At Home,"Some popular broths for most ramen are Shoyu, Tonkotsu, Miso, and Shio. Although these are the most common types of ramen broth, there are other recipe too."
url21,https://www.mygingergarlickitchen.com/5-heavenly-recipes-that-pair-well-with-champagne/,5.0,1039,1069,0.156,0.156,2023-12-02T15:28:07,2023-12-02T15:28:07,2023-12-02T15:28:07,champagne - pair - wine - recipes - glass - seafood - sparkling - dinner - best - pairing - heavenly - lobster,5 Heavenly Recipes that Pair Well with Champagne,"here are many occasions where we can enjoy bottles of champagne, be it as a toasting beverage or simply having a tipple at a winery. "
url22,https://www.mygingergarlickitchen.com/5-ingredient-pumpkin-fritters-pumpkin-gulgula/,6.1,1644,1284,0.203,0.203,2023-11-15T16:49:11,2023-11-15T16:49:11,2023-11-15T16:49:11,ingredient - sugar - fritters - recipe - gulgule - indian - pumpkin - add - oil - mr - batter - sweet,5 Ingredient Indian Pumpkin Fritters Recipe - Pumpkin Gulgule,5 Ingredient Pumpkin Fritters | Pumpkin Gulgule | Kaddu Ke Meethe Pakode. Gulgula is an Indian version of mini donuts. They are super spongy and crispy.
url23,https://www.mygingergarlickitchen.com/5-ways-to-save-time-and-money-at-the-grocery-store/,2.7,539,563,0.23,0.23,2023-11-05T17:58:09,2023-11-05T17:58:09,2023-11-05T17:58:09,grocery - ways - produce - money - app - coupons - way - trip - store - apps - dont - save - shopping,5 Ways to Save Time and Money at the Grocery Store,Grocery shopping can certainly be a time-consuming task. Here are five simple ways to make your next shopping trip a bit easier.
url24,https://www.mygingergarlickitchen.com/6-quick-and-easy-no-churn-ice-cream-recipes/,2.8,707,587,0.211,0.211,2023-11-12T03:12:32,2023-11-12T03:12:32,2023-11-12T03:12:32,video - delicious - recipes - ice - nochurn - cream - recipe - butterscotch - easy - quick - creamy,6 Quick and easy no-churn ice cream recipes (with video),"These 6 quick and easy no-churn Ice Cream Recipes are very simple and delicious. There is no egg involved in making these ice creams, only condensed milk. "
url25,https://www.mygingergarlickitchen.com/7-benefits-of-having-keto-meals-delivered/,5.3,1082,1114,0.23,0.23,2023-11-05T20:41:18,2023-11-05T20:41:18,2023-11-05T20:41:18,services - delivery - having - dont - delivered - youre - ingredients - keto - youll - meals - benefits - diet - meal,7 Benefits Of Having Keto Meals Delivered,"You might be looking to jump to the keto diet bandwagon but are clueless about how you are going to do this. Don't worry, you don't have to replace many items."
url26,https://www.mygingergarlickitchen.com/7-immune-boosting-foods-to-eat-this-winter/,3.6,728,756,0.195,0.195,2023-11-18T18:18:26,2023-11-18T18:18:26,2023-11-18T18:18:26,foods - cold - healthy - health - important - winter - ginger - boosting - immune - vitamin - holiday - system - eat,7 Immune Boosting Foods To Eat This Winter,"While the winter months are associated with the holidays and indulging in baked goods and comfort foods, they are also associated with cold and flu season."
url27,https://www.mygingergarlickitchen.com/7-reasons-why-charcuterie-boards-are-so-popular/,3.4,697,717,0.241,0.241,2023-11-01T20:58:01,2023-11-01T20:58:01,2023-11-01T20:58:01,boards - meats - charcuterie - produce - surfaces - items - great - board - guests - popular - luxury - reasons,7 Reasons Why Charcuterie Boards Are So Popular,Do you want to impress your guests with a charcuterie board? Here is what you need to know!
url28,https://www.mygingergarlickitchen.com/8-easy-ways-to-add-cheese-in-every-meal/,5.3,1110,1134,0.162,0.162,2023-11-30T20:35:06,2023-11-30T20:35:06,2023-11-30T20:35:06,pasta - breakfast - cheese - good - ways - youre - salty - easy - recipe - add - protein - cheddar - salad - meal,8 Easy Ways To Add Cheese In Every Meal,"Cheese makes every dish phenomenal. There's something about this gooey, creamy, salty ingredient that injects comfort and satisfaction into every meal."
url29,https://www.mygingergarlickitchen.com/8-tips-when-buying-quality-meat-for-your-recipes/,5.0,1034,1062,0.227,0.227,2023-11-06T15:21:40,2023-11-06T15:21:40,2023-11-06T15:21:40,meat - check - fat - meats - indicates - recipes - tips - packaging - flavor - quality - best - buying - youre,8 Tips When Buying Quality Meat For Your Recipes,"One of the best ways to get the richest flavor is by using high-quality ingredients, from the meat down to the seasonings. There are several things you need to check."
url30,https://www.mygingergarlickitchen.com/9-amazing-egg-slicer-kitchen-hacks/,0.6,129,135,0.249,0.249,2023-10-29T20:53:03,2023-10-29T20:53:03,2023-10-29T20:53:03,kitchen - video - youtubehappy - works - egg - slicer - following - cut - pinterest - hacks - amazing,9 Amazing Egg Slicer Hacks (Kitchen Hacks),These 9 Amazing Egg Slicer Hacks are a must for anyone who works in the kitchen.
url31,https://www.mygingergarlickitchen.com/a-busy-moms-guide-to-saving-time-in-the-kitchen/,5.5,1130,1162,0.156,0.156,2023-12-02T03:34:16,2023-12-02T03:34:16,2023-12-02T03:34:16,busy - house - cook - kitchen - guide - meal - moms - cooking - food - ingredients - saving - shopping - family - way,A Busy Mom’s Guide To Saving Time In The Kitchen,"Being a parent is an all-around job. Maintaining the house, taking care of the family also falls into your hands. Here are ways you can save time in the kitchen."
url32,https://www.mygingergarlickitchen.com/a-guide-to-choosing-professional-salamanders-for-your-kitchen/,3.1,634,660,0.214,0.214,2023-11-11T00:02:32,2023-11-11T00:02:32,2023-11-11T00:02:32,salamanders - kitchen - guide - size - choosing - type - salamander - models - unit - need - heat - professional - gas,A Guide To Choosing Professional Salamanders For Your Kitchen,"Choosing the right salamander for your kitchen can be a tricky task, so make sure you take the time to research before you decide."
url33,https://www.mygingergarlickitchen.com/aam-ki-launji/,8.2,2387,1728,0.126,0.126,2023-12-13T22:10:06,2023-12-13T22:10:06,2023-12-13T22:10:06,raw - spicy - jaggery - recipe - aam - launji - mangoes - add - ki - chutney - sweet - mango,How to Make Aam Ki Launji (Sweet and Spicy Raw Mango Chutney Recipe),"Aam ki Launji or Kairi Ki Launji is sweet, spicy, and tangy chutney made by cooking raw mangoes, jaggery, some aromatic whole and powdered spices together."
url34,https://www.mygingergarlickitchen.com/aam-panna/,16.2,4147,3435,0.096,0.096,2023-12-24T15:44:53,2023-12-24T15:44:53,2023-12-24T15:44:53,raw - powder - summer - recipe - drink - mangoes - aam - add - mint - panna - mango,Aam Panna Recipe (Raw Mango Drink),"Aam Panna, also known as Aam Ka Panna or Kairi Panha, is a popular Indian summer drink that is cooling and refreshing. Perfect summer cooler."
url35,https://www.mygingergarlickitchen.com/aamras-recipe/,7.5,2035,1587,0.164,0.164,2023-11-29T19:00:56,2023-11-29T19:00:56,2023-11-29T19:00:56,sugar - ras - puree - making - recipe - mangoes - add - aamras - serve - milk - sweet - mango,Aamras Recipe + Video (Sweet Mango Pulp) | How to Make Aamras,"Aamras is a traditional sweet made by pureeing mangoes with sugar, and a little milk/water. This sweet is served with hot puri (deep-fried Indian flatbread)."
url36,https://www.mygingergarlickitchen.com/aate-ki-pinni/,11.1,3391,2360,0.216,0.216,2023-11-10T19:01:58,2023-11-10T19:01:58,2023-11-10T19:01:58,aate - flour - ghee - mixture - powder - wheat - pinni - add - ki - pinnis,Aate Ki Pinni - Atta Pinni - Aate Ke Laddu,"Aate ki Pinni or Aata Ladoos is a traditional Punjabi winter delicacy made with wheat flour, ghee, sugar, and lots of dry fruits."
url37,https://www.mygingergarlickitchen.com/about/,3.5,740,732,0.244,0.244,2023-10-31T23:23:14,2023-10-31T23:23:14,2023-10-31T23:23:14,taste - sandwich - kitchen - cook - recipes - food - ginger - recipe - indian - garlic,About My Ginger Garlic Kitchen,About My Ginger Garlic Kitchen
url38,https://www.mygingergarlickitchen.com/achaari-aloo-gobi/,5.7,1602,1211,0.241,0.241,2023-11-01T14:19:38,2023-11-01T14:19:38,2023-11-01T14:19:38,rice - achaari - gobhi - achari - dish - recipe - seeds - add - gobi - cauliflower - simple - punjabi - aloo,Punjabi Achaari Gobi Recipe + Video | Achari Aloo Gobhi Recipe,"The Achari Aloo Gobi is a quick and easy dish made with cauliflower, potaoes and spices that are used in a pickle. This gluten-free dish goes well with roti."
url39,https://www.mygingergarlickitchen.com/achaari-dahi-bhindi-with-duppad-roti-pad-wali-roti-video-recipe/,5.5,1848,1173,0.123,0.123,2023-12-14T01:04:53,2023-12-14T01:04:53,2023-12-14T01:04:53,sauté - achaari - bhindi - duppad - roti - pad - dish - dahi - wali - add - heat - happy - meal,Achaari Dahi Bhindi with Duppad Roti - Pad Wali Roti,"Duppad is a layered Indian Flatbread which gets separated into two layers after cooking. Achaari Dahi Bhindi, a veg stir-fry is a bonus with this recipe."
