URL_NUM,URL_NAME,NLP_READING_TIME_IN_MINS_212WPM,BSOUP_NUMWORDS,NLP_NUMWORDS,META_YEARS_SINCE_FIRST_PUBLISHED,META_YEARS_SINCE_LAST_MODIFIED,NLP_FIRST_PUBLISHED_DATETIME,META_FIRST_PUBLISHED_DATE,META_LAST_MODIFIED_DATETIME,NLP_KEYWORDS,TITLE_TAG_VALUE,META_DESCRIPTION
url1,https://www.vegrecipesofindia.com/,1.9,2067,396,0,0,None,Not found = first published time,Not found = last updated time,popular - veg - indian - vegetarian - various - food - try - world - dassanas - love - tested - recipes,Dassana's Veg Recipes - Popular Indian Vegetarian Recipes,"Dassana's Veg Recipes (popular as Veg Recipes of India) is a vegetarian food blog sharing Indian Veg Recipes, World Vegetarian Recipes."
url2,https://www.vegrecipesofindia.com/100-whole-wheat-bread-atta-bread/,11.7,2477,2474,1.085,0.773,2022-12-29T17:09:35,2022-12-29T17:09:35,2023-04-22T15:13:44,atta - loaf - bowl - water - wholemeal - active - yeast - wheat - bread - minutes - dry - dough,Whole Wheat Bread | Wholemeal Bread (Atta Bread),Soft 100% Whole Wheat Bread recipe to give you a really good Atta Bread with pantry staple ingredients. Makes for a soft Wholemeal Bread.
url3,https://www.vegrecipesofindia.com/7-cup-barfi-recipe/,10.7,2181,2260,2.419,0.992,2021-08-29T13:22:11,2021-08-29T13:22:11,2023-02-01T16:32:32,cups - sweet - easy - mixture - cake - burfi - stir - ghee - coconut - sugar - besan - cup,7 Cups Sweet Recipe | Easy 7 Cup Burfi | 7 Cup Cake,7 cup burfi recipe with step by step photos - 7 cup burfi is an easy and delicious south indian sweet that can be made for any festive or religious occasion. 7 cup burfi is also called as 7 cup cake as it includes 7 cups or 7 measures of ingredients
url4,https://www.vegrecipesofindia.com/aam-chunda-recipe-mango-chunda/,7.0,1482,1485,0.767,0.767,2023-04-24T18:09:38,2023-04-24T18:09:38,2023-04-24T18:34:15,raw - mango - powder - chunda - mixture - pickle - recipe - sugar - mangoes - aam,Chunda Recipe | Aam Chunda | Mango Chunda » Dassana's Veg Recipes,"This Aam Chunda Recipe or Mango Chunda is an instant, tasty, sweet, tangy and spicy Gujarati pickle condiment with green mango, sugar, spices"
url5,https://www.vegrecipesofindia.com/aam-ka-murabba-recipe/,8.1,1741,1714,0.767,0.767,2023-04-24T18:13:50,2023-04-24T18:13:50,2023-04-24T18:34:07,indian - mango - mixture - consistency - ka - sugar - preserve - mangoes - murabba - aam,Aam Ka Murabba | Mango Murabba (Indian Mango Preserve),"Aam Ka Murabba recipe with stepwise pics. Tangy, sweet and aromatic Mango Murabba or raw mango preserve is made with green mangoes."
url6,https://www.vegrecipesofindia.com/aam-panna-recipe-aam-panna/,17.0,3595,3594,1.707,0.773,2022-05-16T16:59:09,2022-05-16T16:59:09,2023-04-22T17:13:24,mango - add - boiled - syrup - panna - roasted - recipe - pulp - water - sugar - mangoes - aam,Aam Panna Recipe - With Boiled and Roasted Mangoes,"Aam Panna, also called Aam Ka Panna or Kairi Panha is a summer cooler made from unripe mangoes and a bevy of Indian spices for a sweet drink."
url7,https://www.vegrecipesofindia.com/aamras-recipe/,9.1,1591,1921,2.797,2.679,2021-04-13T17:12:25,2021-04-13T17:12:25,2021-05-26T17:12:16,dry - sweet - mango - add - powder - poori - recipe - pulp - water - aamras - mangoes - cardamom,Aamras Recipe | How to make Aamras » Dassana's Veg Recipes,Aamras recipe with step by step photos. Aamras is a popular delicacy from the Western Indian states of Maharashtra and Gujarat.
url8,https://www.vegrecipesofindia.com/about/,8.9,1904,1888,0,0,None,Not found = first published time,Not found = last updated time,ingredients - indian - good - cooking - food - recipe - tried - dont - blog - recipes,About Us,"Namaste We are glad that you are here and thank you for stopping by on Dassana's Veg Recipes - a blog which has pure vegetarian recipes, mostly Indian but"
url9,https://www.vegrecipesofindia.com/accessibility/,1.0,216,209,0,0,None,Not found = first published time,Not found = last updated time,fully - veg - statement - accessibility - accessible - services - content - site - wwwvegrecipesofindiacom - ensure - dassanas - recipes,Dassana's Veg Recipes Accessibility Statement,Updated: September 2020. General Dassana's Veg Recipes strives to ensure that its services are accessible to people with disabilities. Dassana's Veg
url10,https://www.vegrecipesofindia.com/achari-paneer-recipe/,10.0,2042,2124,2.663,0.677,2021-06-01T13:16:52,2021-06-01T13:16:52,2023-05-27T14:56:57,masala - achari - add - powder - teaspoon - spices - seeds - chopped - stir - recipe - paneer,Achari Paneer Recipe | How to make Achari Paneer,Achari Paneer is a delicious Northern Indian dish with soft paneer served in a creamy masala gravy punctuated with pickle spices and tangy curd.
