URL_NUM,URL_NAME,NLP_READING_TIME_IN_MINS_212WPM,BSOUP_NUMWORDS,NLP_NUMWORDS,META_YEARS_SINCE_FIRST_PUBLISHED,META_YEARS_SINCE_LAST_MODIFIED,NLP_FIRST_PUBLISHED_DATETIME,META_FIRST_PUBLISHED_DATE,META_LAST_MODIFIED_DATETIME,NLP_KEYWORDS,TITLE_TAG_VALUE,META_DESCRIPTION
url1,https://www.mygingergarlickitchen.com/,0.0,16,0,0,0,None,Not found = first published time,Not found = last updated time,ginger - kitchen - garlic,My Ginger Garlic Kitchen,"My Ginger Garlic Kitchen - Explore the best of popular Indian recipes and get ready to dive into a world of ultimate spice-packed, flavorful, fragrant, classic and rich Indian food. Here, you will discover tried and tested recipes of Indian and western food with spices and herbs with video tutorials."
url2,https://www.mygingergarlickitchen.com/10-best-ideas-of-tasty-and-healthy-lunch/,3.8,891,800,0.175,0.175,2019-09-16T07:16:33,2019-09-16T07:16:33,2019-09-16T07:16:33,best - prepare - ideas - beans - tasty - healthy - lunch - pot - add - peppers - rice - cooked - good - sauce,10 Best Ideas of Tasty and Healthy Lunch,"Healthy food can be affordable, delicious, nutritious, fast, and easy to prepare. For a college student, all these things matter. Then why are you grabbing burgers, tacos, chips, or pizza whenever you’re wondering what to eat? Because you lack better lunch ideas; that’s why. When you have enough healthy lunch ideas and you make a commitment to a better diet, you won’t reach for a bag of chips at lunch time."
url3,https://www.mygingergarlickitchen.com/10-cooking-hacks-and-how-tos-of-the-21st-century/,3.4,765,715,0.203,0.203,2019-09-06T02:07:46,2019-09-06T02:07:46,2019-09-06T02:07:46,peanut - garlic - water - peel - pot - cooking - hacks - kitchen - howtos - butter - century - muffin - 21st - easy,10 Cooking Hacks and How-tos of The 21st Century,10 Cooking Hacks and How-tos of The 21st Century
url4,https://www.mygingergarlickitchen.com/10-genius-space-saving-ideas-for-small-kitchens/,4.9,1046,1046,0.26,0.26,2019-08-16T21:16:54,2019-08-16T21:16:54,2019-08-16T21:16:54,small - easily - ideas - utilize - store - way - thats - saving - bowl - space - kitchens - kitchen - cabinets - stacking - genius,10 Genius Space Saving Ideas for Small Kitchens,10 Genius Space Saving Ideas for Small Kitchens
url5,https://www.mygingergarlickitchen.com/10-kitchen-hacks-to-slice-and-cut-without-a-knife/,4.7,992,992,0.233,0.233,2019-08-26T15:59:43,2019-08-26T15:59:43,2019-08-26T15:59:43,cut - slice - peel - hacks - using - slicing - try - knife - used - kitchen - egg,10 Kitchen Hacks To Slice And Cut Without A Knife,10 Kitchen Hacks To Slice And Cut Without A Knife
url6,https://www.mygingergarlickitchen.com/10-tips-for-eating-out-on-a-budget-this-holiday-season/,3.7,793,793,0.2,0.2,2019-09-07T05:05:17,2019-09-07T05:05:17,2019-09-07T05:05:17,fun - season - budget - special - enjoy - eat - restaurant - discounts - restaurants - holiday - eating - tips,10 Tips for Eating Out on a Budget This Holiday Season,10 Tips for Eating Out on a Budget This Holiday Season
url7,https://www.mygingergarlickitchen.com/11-incredible-kitchen-hacks-that-are-absolutely-amazing-video/,0.9,182,182,0.26,0.26,2019-08-16T20:15:13,2019-08-16T20:15:13,2019-08-16T20:15:13,ginger - paper - incredible - 11 - fresh - peel - amazing - hacks - using - kitchen - video - tricks - skin - absolutely,11 Incredible Kitchen Hacks That Are Absolutely Amazing [with Video],11 Incredible Kitchen Hacks That Are Absolutely Amazing [with Video]
url8,https://www.mygingergarlickitchen.com/15-minutes-creme-fraiche-raspberry-peas-lemony-pasta/,4.1,1201,875,0.219,0.219,2019-08-31T23:12:04,2019-08-31T23:12:04,2019-08-31T23:12:04,summery - weekend - love - fraiche - add - raspberries - pasta - peas - lemony - creme - 15 - sauce - minutes - raspberry,15 Minutes Creme Fraiche Raspberry Peas Lemony Pasta,15 Minutes Creme Fraiche Raspberry Peas Lemony Pasta. When you are in a dilemma on what to eat. A warm or cold summery fruity pasta would do the magic. The one that did its magic this weekend for us was – 15 Minutes Creme Fraiche Raspberry Peas Lemony Pasta. This one fits well in such situations.
url9,https://www.mygingergarlickitchen.com/15-minutes-no-oil-green-thai-curry-chow-mein-noodles/,5.8,1522,1237,0.238,0.238,2019-08-24T22:18:52,2019-08-24T22:18:52,2019-08-24T22:18:52,curry - noodles - chowmein - light - boil - oil - green - 15 - sauce - minutes - thai,15 minutes No Oil Green Thai Curry Chow-Mein Noodles,15 minutes No Oil Green Thai Curry Chow-Mein Noodles. This noodle is so simple and utterly delicious. This 15 minutes No Oil Thai Green Curry Chow-Mein Noodles is possibly one of the easiest recipes I have posted as a full meal.
url10,https://www.mygingergarlickitchen.com/15-non-spooky-halloween-recipes/,0.5,705,110,0.058,0.058,2019-10-29T10:47:43,2019-10-29T10:47:43,2019-10-29T10:47:43,youhappy - fun - wonderful - turned - pumpkin - youthese - nonspooky - party - pie - 15 - halloween - recipes,15 Non-spooky Halloween Recipes,"Halloween is here, and this is the time for some Halloween party planning.We have collected 15 wonderful non-spooky & fun Halloween recipes for you. These not so scary Halloween treats are easy and there is no trick to make these Halloween recipes."
