URL_NUM,URL_NAME,NLP_READING_TIME_IN_MINS_212WPM,BSOUP_NUMWORDS,NLP_NUMWORDS,META_YEARS_SINCE_FIRST_PUBLISHED,META_YEARS_SINCE_LAST_MODIFIED,NLP_FIRST_PUBLISHED_DATETIME,META_FIRST_PUBLISHED_DATE,META_LAST_MODIFIED_DATETIME,NLP_KEYWORDS,TITLE_TAG_VALUE,META_DESCRIPTION
url1,https://www.vegrecipesofindia.com/,0.2,2586,47,0.693,0.036,2019-03-11T17:22:22,2019-03-11T17:22:22,2019-11-06T14:44:43,read - vegetarian - tested - veg - world - tasty - step - share - tried - india - recipes,Indian Food | Veg Recipes of India | Indian Food Recipes,Veg Recipes of India by Dassana Amit - Most popular Indian food blog sharing vegan and vegetarian Indian Food recipes of india and from World Cuisine.
url2,https://www.vegrecipesofindia.com/100-whole-wheat-bread-atta-bread/,3.6,1445,763,5.929,0.159,2013-12-16T20:41:15,2013-12-16T20:41:15,2019-09-22T18:26:49,recipe - bread - dough - dry - yeast - oven - 100 - wheat - instant - knead - atta - ingredient,wheat bread recipe | atta bread recipe | 100% whole wheat bread,100% whole wheat bread or atta bread recipe with stepwise pics - a recipe to give you a really good bread with ingredients you have at home. this is a soft bread with a light crumb. the recipe does not have the typical denseness and heaviness which is found in 100% whole wheat breads.
url3,https://www.vegrecipesofindia.com/5-spice-rice-recipe/,6.0,1230,1268,2.877,0.26,2017-01-03T21:14:17,2017-01-03T21:14:17,2019-08-16T23:08:31,recipe - water - powder - teaspoon - veggies - rice - cup - veg - add - sliced - spice - chinese - style,"5 spice rice recipe, how to make chinese style veg 5 spice rice",5 spice rice recipe with step by step photos. aromatic chinese style veg 5 spice rice. 5 spice is a blend of 5 spices used in chinese cuisine
url4,https://www.vegrecipesofindia.com/7-cup-barfi-recipe/,3.6,1363,765,2.816,0.164,2017-01-25T19:38:34,2017-01-25T19:38:34,2019-09-20T16:08:59,recipe - burfi - stir - ½ - cup - besan - mixture - cake - sugar - sides - measure,7 cup burfi recipe | 7 cup cake recipe | how to make 7 cup burfi,7 cup burfi recipe with step by step photos - 7 cup burfi is an easy and delicious south indian sweet that can be made for any festive or religious occasion. 7 cup burfi is also called as 7 cup cake as it includes 7 cups or 7 measures of ingredients
url5,https://www.vegrecipesofindia.com/aam-chunda-recipe-mango-chunda/,4.5,936,951,4.455,0.26,2015-06-07T23:04:21,2015-06-07T23:04:21,2019-08-16T23:08:53,recipe - mangoes - powder - mixture - aam - chunda - sugar - ka - mango - consistency,aam chunda recipe | mango chunda recipe | aam ka chunda,"aam chunda recipe with step by step pics. quick, easy and tasty mango chunda recipe. aam chunda is a spicy, sour and sweet mango preserve made with raw unripe mangoes and spices.traditionally both aam chunda and aam ka murabba are made by keeping the mango-sugar mixture in a glass jar in sunlight."
url6,https://www.vegrecipesofindia.com/aam-ka-murabba-recipe/,4.7,985,994,4.471,0.26,2015-06-01T01:19:46,2015-06-01T01:19:46,2019-08-16T23:08:53,recipe - mangoes - consistency - mixture - aam - sugar - flame - raw - ka - mango - murabba,"aam ka murabba recipe, how to make aam ka murabba | mango murabba","aam ka murabba recipe with step by step photos. tangy, sweet and aromatic raw mango jam or preserve. aam ka murabba is a preserve made from tart sour mangoes."
url7,https://www.vegrecipesofindia.com/aam-panna-recipe-aam-panna/,10.3,2132,2192,7.504,0.26,2012-05-20T17:53:47,2012-05-20T17:53:47,2019-08-16T22:54:03,recipe - mangoes - panna - water - pulp - add - aam - sugar - jaggery - mango,"aam panna recipe, how to make aam panna | mango panna",aam panna recipe with step by step photos. aam panna is made from raw mangoes. mango panna drink is slightly sour and sweet to taste with a hint of cardamom & black salt. you can make the aam panna with sugar or jaggery. its a summer cooler and help greatly in beating the heat in the summers.
url8,https://www.vegrecipesofindia.com/aam-panna-recipe/,0.0,1177,0,2.586,0.022,,2017-04-19T13:38:42,2019-11-11T15:27:35,,roasted aam ka panna recipe,roasted aam panna recipe with video and step by step pics. there are two ways aam panna is made. by roasting mangoes or cooking raw mangoes.
url9,https://www.vegrecipesofindia.com/aamras-recipe/,4.0,830,853,9.542,0.26,2010-05-07T20:08:07,2010-05-07T20:08:07,2019-08-16T23:09:32,recipe - mangoes - powder - aamras - add - sweet - aam - ras - sugar - puri - mango,"aamras recipe, how to make aamras | aamras puri | aam ras",aamras recipe with step by step photos. aamras is a popular dessert or sweet from the western indian states of maharashtra and gujarat. aamras is served with pooris.
url10,https://www.vegrecipesofindia.com/achari-paneer-recipe/,3.9,1608,819,4.6,0.016,2015-04-15T21:03:59,2015-04-15T21:03:59,2019-11-13T11:43:34,stir - powder - spices - add - ½ - achari - tsp - paneer - masala - tbsp,Achari Paneer,Achari Paneer Recipe with step by step photos. Robust flavored cottage cheese curry made with pickling spices. This is a really good achari paneer recipe.
url11,https://www.vegrecipesofindia.com/achari-paneer-tikka-recipe-tikka-recipes/,9.0,1867,1913,5.06,0.26,2014-10-29T21:24:11,2014-10-29T21:24:11,2019-08-16T23:09:02,recipe - powder - tikka - seeds - dry - oven - achari - mustard - paneer - masala - degrees,"achari paneer tikka recipe, how to make paneer achari tikka recipe",achari paneer tikka recipe with step by step photos - yet another variation of the popular paneer tikka flavored with pickling spices. if you enjoy biting into pickle and relishing the sour taste of lemon or mango then you will like this recipe.
url12,https://www.vegrecipesofindia.com/adai-recipe/,3.0,1213,633,1.951,0.159,2017-12-07T21:49:29,2017-12-07T21:49:29,2019-09-22T18:28:04,batter - recipe - lentils - ¼ - rice - cup - add - adai - chopped - dosa - hours,adai recipe | adai dosa recipe | how to make adai,adai recipe with step by step pics. adai is a delicious protein rich pancake made in south indian households. making adai is very easy. rice and lentils are soaked and then ground to a slightly coarse batter.
url13,https://www.vegrecipesofindia.com/ajwain-paratha/,4.3,865,905,6.778,0.26,2013-02-09T21:20:34,2013-02-09T21:20:34,2019-08-16T23:09:21,recipe - dal - ajwain - parathas - hot - flaky - seeds - punjabi - oil - ghee - step - paratha - ka - crisp,ajwain paratha recipe | crisp & flaky punjabi ajwain ka paratha recipe,ajwain paratha recipe with step by step photos. these ajwain paratha are stuffed with ajwain (carom seeds) making the paratha aromatic as well as delicious.
url14,https://www.vegrecipesofindia.com/akkha-masoor-recipe/,7.0,1443,1492,3.874,0.26,2016-01-05T21:42:12,2016-01-05T21:42:12,2019-08-16T23:08:47,recipe - akkha - red - dal - powder - water - lentils - pressure - masoor - kolhapuri - cup - add - tsp - style,akkha masoor recipe | red lentils recipe | kolhapuri style akkha masoor dal,akkha masoor recipe with step by step photos. spiced whole red lentils or masoor dal dish from the kolhapuri cuisine. this akkha masoor dal recipe is a semi dry version
url15,https://www.vegrecipesofindia.com/akki-roti-recipe/,3.3,1361,707,2.485,0.164,2017-05-26T19:09:08,2017-05-26T19:09:08,2019-09-20T18:19:31,water - akki - plantain - tawa - leaves - cup - add - roti - rice - dough,akki roti recipe | how to make akki roti | akki rotti recipe,akki roti recipe with step by step pics - akki roti is one of the staple breakfast in karnataka. akki means rice and roti means flat bread. so basically these are flat breads made with rice flour and mix veggies. they can be also called as rice flour rotis.
url16,https://www.vegrecipesofindia.com/almond-halwa-badam-halwa-recipe/,4.2,1653,893,7.055,0.162,2012-10-31T21:55:02,2012-10-31T21:55:02,2019-09-21T12:25:07,recipe - stir - badam - best - halwa - cook - ghee - add - almonds - almond - till - ka,"badam halwa recipe, how to make badam halwa | best badam ka halwa",badam halwa recipe with step by step photos. this delicious south indian badam halwa recipe is one of the best badam halwa that you can make. it will remind you of the badam halwa which one gets in south indian sweets shops.
url17,https://www.vegrecipesofindia.com/aloo-65-potato-65/,1.6,744,347,7.132,0.151,2012-10-03T19:16:26,2012-10-03T19:16:26,2019-09-25T17:57:17,recipe - water - snack - potato - chicken - chutney - 65 - variations - potatoes - aloo,"aloo 65 recipe, how to make aloo 65 | potato 65",aloo 65 recipe with step by step photos - this is a crispy and delicious aloo 65 recipe. potato 65 is an easy to make snack. there are many snacks that can be made with potatoes and this potato 65 is one such awesome snack. you can serve it as a starter snack before meals too.
url18,https://www.vegrecipesofindia.com/aloo-anardana-salad/,1.1,574,230,6.816,0.17,2013-01-26T19:03:49,2013-01-26T19:03:49,2019-09-18T19:04:23,recipe - salad - potato - wanted - anardana - indian - chaat - pomegranate - try - aloo,aloo anardana salad recipe | potato pomegranate salad,"easy potato pomegranate salad recipe or aloo anardana salad - if you love potatoes & pomegranate, then you have to make this aloo anardana salad recipe."
url19,https://www.vegrecipesofindia.com/aloo-baingan-potatoes-with-green-eggplant-recipe/,5.1,1056,1083,10.337,0.26,2009-07-21T19:30:00,2009-07-21T19:30:00,2019-08-16T23:09:35,recipe - powder - baingan - spice - brinjals - bharwa - add - stuffed - tsp - potatoes,bharwa baingan recipe how to make bharwa baingan | stuffed baingan,"bharwa baingan recipe with step by step photos - one easy and tasty recipe of bharwa baingan or stuffed brinjals with potatoes. in this recipe, baingan is stuffed with a spice powder mix and not any veggies. its the spice blend which gives the dish its taste and flavor. you can use the small baingan or the medium ones."
url20,https://www.vegrecipesofindia.com/aloo-baingan-recipe-aloo-baingan/,3.8,804,805,8.244,0.26,2011-08-24T00:24:19,2011-08-24T00:24:19,2019-08-16T22:54:09,recipe - powder - baingan - teaspoon - ki - veggies - sabzi - oil - salt - potatoes - sabji - aloo,"aloo baingan recipe, how to make aloo baingan ki sabzi | baingan sabji",aloo baingan recipe with step by step photos - this punjabi aloo baingan recipe is my mom-in-law's super easy and simple recipe. in this recipe of aloo baingan sabzi we just slice or chop the baingans instead of keeping them whole. the spices used are same as for the stuffed aloo baingan recipe.
