URL_NUM,URL_NAME,NLP_READING_TIME_IN_MINS_212WPM,BSOUP_NUMWORDS,NLP_NUMWORDS,META_YEARS_SINCE_FIRST_PUBLISHED,META_YEARS_SINCE_LAST_MODIFIED,NLP_FIRST_PUBLISHED_DATETIME,META_FIRST_PUBLISHED_DATE,META_LAST_MODIFIED_DATETIME,NLP_KEYWORDS,TITLE_TAG_VALUE,META_DESCRIPTION
url1,https://holycowvegan.net/,0.4,91,89,0,0,None,Not found = first published time,Not found = last updated time,food - spicy - blog - vegan - serve - easy - weekend - rushed - special - recipes - meal - usually - soyfreein - pulao,"Vegan Food Blog, Easy Vegan Recipes | Holy Cow!","Vegan food blog with easy vegan recipes for the family. Healthy, gluten-free meal ideas for breakfast, lunch and dinner, and desserts too."
url2,https://holycowvegan.net/10-minute-vegan-dal-dahl/,1.6,589,348,0.586,0.274,2019-05-03T11:19:44,2019-05-03T11:19:44,2019-08-25T21:25:09,lentils - vegan - sauce - onion - recipe - 10minute - basic - different - tomato - recipes - dal - delicious,10-minute Vegan Dal with Basic Tomato Onion Sauce | Holy Cow! Vegan Recipes,"This vegan dal takes under 10 minutes to put together, if you have my basic tomato onion sauce handy. Gluten-free, soy-free and nut-free recipe."
url3,https://holycowvegan.net/10169/,3.9,829,818,3.89,0.904,2016-01-13T13:56:36,2016-01-13T13:56:36,2019-01-07T19:58:40,happy - sweet - opie - dogs - loved - toy - demanding - heart - sleep - miss - lucy - desi,"Sleep, Sweet Opie | Holy Cow! Vegan Recipes",No meta description found.
url4,https://holycowvegan.net/13-lucky-healthy-recipes-for-the-new-year/,4.3,1050,906,0.921,0.915,2019-01-01T09:39:10,2019-01-01T09:39:10,2019-01-03T09:46:11,nutfree - peas - soyfree - vegan - luck - lucky - recipe - healthy - noodles - recipes - glutenfree - delicious - 13 - eat,13 Lucky and Healthy Recipes for the New Year | Holy Cow! Vegan Recipes,Around the world people eat certain foods to bring luck in the new year. So here are 13 vegan recipes that will bring you luck while getting you healthy. 
url5,https://holycowvegan.net/15-minute-shredded-brussels-sprouts-stir-fry/,3.8,847,809,2.699,0.836,2017-03-23T09:00:56,2017-03-23T09:00:56,2019-02-01T13:58:37,cooking - really - love - tsp - shredded - flour - stirfry - brussels - 15minute - delicious - sprouts,15-Minute Shredded Brussels Sprouts Stir-Fry | Holy Cow! Vegan Recipes,"This 15-Minute Shredded Brussels Sprouts Stir-Fry is made savory and delicious by a few simple spices, herbs, and a smidgen of chickpea flour."
url6,https://holycowvegan.net/15-minute-stir-fried-mushrooms/,3.1,665,659,3.167,0.932,2016-10-03T09:00:23,2016-10-03T09:00:23,2018-12-28T18:17:31,flavor - stirfried - leaves - texture - prep - large - vegetable - recipe - heat - mushrooms - 15minute,15-minute Stir-Fried Mushrooms | Holy Cow! Vegan Recipes,"An easy, 9-ingredient recipe for stir-fried mushrooms that's ready in 15 minutes. From prep to finish, this recipe comes together fast."
url7,https://holycowvegan.net/15-vegan-detox-recipes-for-the-new-year/,6.0,1320,1267,1.918,0.921,2018-01-02T01:00:50,2018-01-02T01:00:50,2019-01-01T12:41:53,sweet - soup - 15 - vegan - detox - recipe - healthy - favorite - recipes - meal - delicious - eat,15 Vegan Detox Recipes for the New Year | Holy Cow! Vegan Recipes,"If the holidays have left you feeling like you're carrying a tofurkey to full term, here are 15 vegan detox recipes that will make you glow inside out in the new year without a hint of deprivation."
url8,https://holycowvegan.net/20-minute-dill-turmeric-pilaf-pistachios/,3.3,717,700,2.4,0.14,2017-07-10T16:38:17,2017-07-10T16:38:17,2019-10-13T18:40:25,vegetable - g - vegan - turmeric - recipe - pistachios - dill - rice - delicious - 20minute - pilaf,20-Minute Dill Turmeric Pilaf with Pistachios | Holy Cow! Vegan Recipes,"This 20-minute Dill Turmeric Pilaf with Pistachios is one elegant dish that goes perfectly with a spicy curry. Vegan, gluten-free and soy-free recipe."
url9,https://holycowvegan.net/20-minute-vegetable-curry-recipe/,2.8,633,584,1.468,0.222,2018-06-15T11:41:20,2018-06-15T11:41:20,2019-09-13T09:36:53,really - add - tsp - thinly - vegetable - vegan - coconut - curry - recipe - heat - milk - best - 20minute,20-minute Best Vegetable Curry Recipe | Holy Cow! Vegan Recipes,"One-pot 20-minute Best Vegetable Curry with creamy coconut milk. Enjoy with a side of rice for an easy vegan dinner.Soy-free, nut-free, gluten-free recipe."
url10,https://holycowvegan.net/21-vegan-cookies-holidays/,1.3,292,286,2.97,2.337,2016-12-14T11:30:48,2016-12-14T11:30:48,2017-08-02T16:58:00,cookies - holidays - sugar - 21 - vegan - cookiesvegan - youre - shortbread - wheat - cookie - banana - delicious - chocolate,21 Delicious Vegan Cookies for the Holidays | Holy Cow! Vegan Recipes,"21 of the best and most delicious vegan cookies ever, including vegan shortbread, chocolate cookies, amaretti, and sugar cookies."
