URL_NUM,URL_NAME,NLP_READING_TIME_IN_MINS_212WPM,BSOUP_NUMWORDS,NLP_NUMWORDS,META_YEARS_SINCE_FIRST_PUBLISHED,META_YEARS_SINCE_LAST_MODIFIED,NLP_FIRST_PUBLISHED_DATETIME,META_FIRST_PUBLISHED_DATE,META_LAST_MODIFIED_DATETIME,NLP_KEYWORDS,TITLE_TAG_VALUE,META_DESCRIPTION
url1,https://www.spiceupthecurry.com/,1.0,5,210,0,0,None,Not found = first published time,Not found = last updated time,blog - fasting - beverages - sweets - eggless - rice - food - indian - jain - vegan - vegetarian - diwali - recipes,"Spice Up The Curry - Indian food blog with Vegetarian, Eggless Recipes",Find Indian vegetarian recipes. I share home style as well as restaurant style recipes. You can also find eggless baking recipes.
url2,https://www.spiceupthecurry.com/aam-ka-panna-recipe-mango-panna/,4.1,1082,873,6.597,0.663,2013-04-30T12:53:56,2013-04-30T12:53:56,2019-04-05T14:10:49,keri - kairi - recipe - kachi - aam - sugar - mango - mangoes - baflo - jaggery - color - black - panna - cumin - powder,Aam Panna Recipe (Kairi Panna) Kachi Keri no Baflo,Aam panna recipe or kairi panna (Indian summer drink) - Make a big batch of mango panna concentrate and store in refrigerator and use as needed.
url3,https://www.spiceupthecurry.com/aamras-recipe-aamras-puripoori/,2.2,841,466,6.638,0.644,2013-04-15T20:04:29,2013-04-15T20:04:29,2019-04-12T21:25:08,sonth - recipe - ras - aam - poori - ginger - pulp - mango - aamras - mangoes - add - powder,Aamras recipe | Aamras with Poori | how to make aam ras,Aamras recipe - it is flavored mango pulp. Traditionally aamras is served with puri aka aamras puri. It can be served with roti or phulka.
url4,https://www.spiceupthecurry.com/achari-bhindi-recipe/,2.3,864,491,3.526,2.104,2016-05-25T14:19:59,2016-05-25T14:19:59,2017-10-26T09:07:46,oil - recipe - mustard - bhindi - seeds - achari - spices - add - pickle - powder,Achari bhindi recipe | How to make achari bhindi masala,Achari bhindi recipe - Okras are stir-fried with mustard oil and spices similar to used for making pickle. Best served with roti/phulka or paratha.
url5,https://www.spiceupthecurry.com/achari-paneer-recipe/,2.7,1036,578,1.567,0.707,2018-05-10T05:29:39,2018-05-10T05:29:39,2019-03-20T13:08:15,heat - recipe - gravy - mustard - masala - paneer - seeds - achari - pickling - add - spices - taste - powder,Achari Paneer Recipe (Achari Paneer Masala Gravy with Pickling Spices),"Achari Paneer Recipe - The overall taste and flavor of this achari paneer masala gravy is very different and unique compared to typical North Indian paneer gravies. It has spicy, mild sour and pickle like taste. Goes well with tandoori roti, paratha, naan or rice, jeera rice."
url6,https://www.spiceupthecurry.com/ajwain-paratha-recipe/,2.5,853,533,5.671,2.107,2014-04-03T19:59:26,2014-04-03T19:59:26,2017-10-25T22:00:59,oil - recipe - apply - little - skillet - dal - seeds - dough - paratha - ka - partha - ajwain,"Ajwain paratha recipe (How to make ajwain paratha), ajwain ka partha",Ajwain paratha recipe - a variation to the simple plain paratha. Nothing fancy is going on here. Just ajwain seeds aka carom seeds are added into the plain paratha dough. But this small addition makes the paratha totally different tasting.
url7,https://www.spiceupthecurry.com/aloo-beans-recipe/,1.7,633,363,5.893,1.11,2014-01-12T03:39:30,2014-01-12T03:39:30,2018-10-24T14:11:15,recipe - sabzi - aloo - ki - stir - dish - beans - add - spices - punjabi - powder - subzi,Aloo Beans Recipe (How to make Punjabi Aloo beans Subzi recipe),Aloo beans sabzi recipe with step by step photos - lightly spiced potato and green beans or french beans stir fry made in Punjabi style
url8,https://www.spiceupthecurry.com/aloo-beet-greens-recipe/,1.6,762,334,6.282,2.107,2013-08-23T20:09:42,2013-08-23T20:09:42,2017-10-25T21:41:51,heat - recipe - potatoes - sabzi - aloo - greens - leaves - beetroot - beet - add - stems - powder - mix,Aloo beet greens sabzi recipe (Potatoes with beetroot leaves),"Aloo beet greens sabzi recipe - This is healthy, homey dry vegetable preparation made with potatoes, beetroot leaves and stems along with few basic spices. This goes perfect with roti, paratha."
url9,https://www.spiceupthecurry.com/aloo-bhatura-recipe/,2.8,982,603,3.901,0.778,2016-01-09T03:09:26,2016-01-09T03:09:26,2019-02-22T10:51:44,oil - recipe - aloo - boiled - smooth - bhatura - potato - dough - chole - flour,Aloo bhatura recipe (How to make aloo bhatura recipe),Aloo bhatura recipe with step by step photos - very quick bhatura recipe made from only two ingredients (all purpose flour and boiled potato).
url10,https://www.spiceupthecurry.com/aloo-bhindi-recipe/,3.3,1112,691,6.819,0.644,2013-02-08T04:06:58,2013-02-08T04:06:58,2019-04-12T16:07:34,cook - recipe - till - knife - aloo - bhindi - buy - okra - dry - add - punjabi - recipes,Aloo Bhindi Recipe (How to make Punjabi Aloo Bhindi) Bhindi recipes,Aloo bhindi recipe with step by step photos - healthy and delicious side dish for roti or paratha. Learn how to make punjabi aloo bhindi.
