URL_NUM,URL_NAME,NLP_READING_TIME_IN_MINS_212WPM,BSOUP_NUMWORDS,NLP_NUMWORDS,META_YEARS_SINCE_FIRST_PUBLISHED,META_YEARS_SINCE_LAST_MODIFIED,NLP_FIRST_PUBLISHED_DATETIME,META_FIRST_PUBLISHED_DATE,META_LAST_MODIFIED_DATETIME,NLP_KEYWORDS,TITLE_TAG_VALUE,META_DESCRIPTION
url1,https://www.whiskaffair.com/,0.4,93,92,0,0,None,Not found = first published time,Not found = last updated time,paneer - food - style - international - indian - photography - vegetarians - restaurant - recipes - tried - soft - rich - gravy - korma - tested - cubes,"Tried & Tested Indian and International Recipes, Food Photography and More - Whisk Affair","Browse hundreds of delicious recipes for world travelers. From Indian Curry to Thai Noodles to American Chop Suey our eclectic mix of dishes reflect our love for the best cuisine, regardless of international border. Join us on our journey of culinary adventure. We'd love the company!"
url2,https://www.whiskaffair.com/10-must-try-summer-coolers/,1.1,242,224,4.247,0.351,2015-09-05T01:50:33,2015-09-05T01:50:33,2019-07-28T16:04:17,mango - cooler - heat - way - list - homemade - recipes - summer - wavei - try - lemon - high,10 must try Homemade Summer Cooler Recipes - Whiskaffair,Here is a list of 10 must try summer cooler that you must definitely try this summers. They are refreshing and nourishing to tackle the summer heat.
url3,https://www.whiskaffair.com/25-best-sankranti-recipes/,9.0,1920,1918,0.907,0.137,2019-01-06T05:05:32,2019-01-06T05:05:32,2019-10-14T09:25:55,delicious - indian - rice - history - pongal - recipes - 25 - sweet - south - sankranti - significance - recipe - festival - india,History & Significance of Sankranti + 25 Sankranti Recipes - Whislaffair,Here is a collection of Sankranti recipes which you can enjoy for this festival of joy. So read on and include these in your celebrations.
url4,https://www.whiskaffair.com/30-minute-healthy-carrot-ginger-soup-recipe/,5.1,1042,1086,0.732,0.082,2019-03-11T15:30:07,2019-03-11T15:30:07,2019-11-03T12:29:54,add - minutes - carrot - cream - olive - ginger - fresh - oil - healthy - soup,30 Minute Healthy Carrot Ginger Soup Recipe (Step By Step) - Whiskaffair,This carrot ginger soup is perfect to make for weeknight dinner. It takes less than 30 minutes to cook it and is super healthy and delicious.
url5,https://www.whiskaffair.com/60-recipes-to-make-this-diwali/,2.3,601,488,2.997,0.121,2016-12-04T03:52:31,2016-12-04T03:52:31,2019-10-20T05:37:24,60 - diwali - recipes - tried - best - snacks - enjoy - tested - sweets - recipe - festival,60 Best Diwali Recipes to make at home - Whiskaffair,Here is a list of 60 best Diwali Recipes compiled just for you. From sweets to snacks you would find everything here. Visit now and enjoy Diwali.
url6,https://www.whiskaffair.com/aam-aur-chana-chaat-video-recipe/,2.1,441,435,4.427,1.11,2015-07-01T02:37:36,2015-07-01T02:37:36,2018-10-24T14:33:31,aur - chaat - aam - mango - chick - chana - easy - tsp - water - pressure - healthy,Aam aur Chana Chaat (Mango Chickpea Salad) - Whiskaffair,"Aam aur Chana Chaat is a healthy, filling and very quick and easy to make dish. Make it while Mangoes are in season and serve as tea time snack."
url7,https://www.whiskaffair.com/aam-panna/,4.2,1149,896,0.732,0.433,2019-03-11T13:29:00,2019-03-11T13:29:00,2019-06-28T08:26:21,add - aam - mangoes - heat - mint - panna - boiling - water - best - video - sugar - drink - recipe - step,Best Aam Panna Recipe (Step by Step + Video) - Whiskaffair,"Aam panna is a very refreshing drink made using Raw mangoes, fresh mint, sugar, salt and roasted cumin powder. Try it this summer and feel rejuvenated."
url8,https://www.whiskaffair.com/aamras-ripe-mango-dip-video-recipe/,6.6,1354,1403,0.499,0.038,2019-06-04T10:27:23,2019-06-04T10:27:23,2019-11-19T15:43:26,add - mangoes - mango - canned - using - sugar - pulp - puree - aamras - milk,Aamras Recipe (Step by Step + Video) - Whiskaffair,"Aamras is a famous Gujarati and Maharashtrian dish made by pureeing ripe mangoes with sugar, cardamom powder. Aamras Puri taste heavenly!"
url9,https://www.whiskaffair.com/aate-ka-halwa-recipe/,4.1,842,867,1.178,0.351,2018-09-29T01:19:13,2018-09-29T01:19:13,2019-07-28T12:23:38,flour - minutes - wheat - add - dry - aate - ghee - sugar - video - best - ka - halwa - recipe - step,Best Aate ka Halwa Recipe (Step by Step + Video) - Whiskaffair,"Aate ka halwa is a delicious indian dessert which is very easy to make and is quite delicious. Loaded with ghee & dry fruits, it is definitely indulgent."
url10,https://www.whiskaffair.com/acai-bowl-recipe/,7.7,1578,1638,0.362,0.03,2019-07-24T15:37:36,2019-07-24T15:37:36,2019-11-22T13:07:33,seeds - acai - fruits - berry - frozen - banana - smoothie - best - pulp - bowl - berries,The Best Acai Bowl Recipe (Step by Step) - Whiskaffair,Acai Bowl is a super healthy breakfast option which is easy to make and uses less than 5 ingredient. Top it with a variety of topping for a new taste.
