BOOK_SERIAL_NUMBER;BOOK_NAME;BOOK_URL;BOOK_TYPE
BOOK_SERIALNUM_1;GAYATRI KI DAINIK SADHna;<a target="_blank" href="http://literature.awgp.org/book/gayatri_ki_dainik_sadhnaa/v1.1">http://literature.awgp.org/book/gayatri_ki_dainik_sadhnaa/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/gayatri_ki_dainik_sadhnaa/v1">(Book_Home)</a>;Text Book Version
BOOK_SERIALNUM_2;anachar se kaise nipte;<a target="_blank" href="http://literature.awgp.org/book/anachar_se_kaise_nipate/v2.1">http://literature.awgp.org/book/anachar_se_kaise_nipate/v2.1</a> // <a target="_blank" href="http://literature.awgp.org/book/anachar_se_kaise_nipate/v2">(Book_Home)</a>;Text Book Version
BOOK_SERIALNUM_3;dampatyajivan me swarg ka awtaran;<a target="_blank" href="http://literature.awgp.org/book/dampatyajivan_me_swarg_ka_awtaran/v1.1">http://literature.awgp.org/book/dampatyajivan_me_swarg_ka_awtaran/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/dampatyajivan_me_swarg_ka_awtaran/v1">(Book_Home)</a>;Text Book Version
BOOK_SERIALNUM_4;gayatri dwarabhautik safaltaye;<a target="_blank" href="http://literature.awgp.org/book/gayatri_dwara_bhautik_safaltaye/v1.1">http://literature.awgp.org/book/gayatri_dwara_bhautik_safaltaye/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/gayatri_dwara_bhautik_safaltaye/v1">(Book_Home)</a>;Text Book Version
BOOK_SERIALNUM_5;gayatri ke pratyaksh chamatkar;<a target="_blank" href="http://literature.awgp.org/book/gayatri_ke_pratyaksh_chamatkar/v1.1">http://literature.awgp.org/book/gayatri_ke_pratyaksh_chamatkar/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/gayatri_ke_pratyaksh_chamatkar/v1">(Book_Home)</a>;Text Book Version
BOOK_SERIALNUM_6;gayatri yagya vidhaan;<a target="_blank" href="http://literature.awgp.org/book/gayatri_yagya_vidhaan/v1.1">http://literature.awgp.org/book/gayatri_yagya_vidhaan/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/gayatri_yagya_vidhaan/v1">(Book_Home)</a>;Text Book Version
BOOK_SERIALNUM_7;gytri yagya vidhan part 2;<a target="_blank" href="http://literature.awgp.org/book/gayatree_yajn_vidhan/v2.1">http://literature.awgp.org/book/gayatree_yajn_vidhan/v2.1</a> // <a target="_blank" href="http://literature.awgp.org/book/gayatree_yajn_vidhan/v2">(Book_Home)</a>;Text Book Version
BOOK_SERIALNUM_8;karam kand kyun aur kaise;<a target="_blank" href="http://literature.awgp.org/book/karam_kand_kyun_aur_kaise/v1.1">http://literature.awgp.org/book/karam_kand_kyun_aur_kaise/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/karam_kand_kyun_aur_kaise/v1">(Book_Home)</a>;Scan Book Version
BOOK_SERIALNUM_9;sanjivani vidya ka vistar;<a target="_blank" href="http://literature.awgp.org/book/Sanjiwani_Vidhya_Ka_Vistar/v5.1">http://literature.awgp.org/book/Sanjiwani_Vidhya_Ka_Vistar/v5.1</a> // <a target="_blank" href="http://literature.awgp.org/book/Sanjiwani_Vidhya_Ka_Vistar/v5">(Book_Home)</a>;Scan Book Version
BOOK_SERIALNUM_10;striyon ki gayatree sadhna;<a target="_blank" href="http://literature.awgp.org/striyon_ki_gayatree_sadhna.1">http://literature.awgp.org/striyon_ki_gayatree_sadhna.1</a> // <a target="_blank" href="http://literature.awgp.org/striyon_ki_gayatree_sadhna">(Book_Home)</a>;Text Book Version
