BOOK_SERIAL_NUMBER;BOOK_NAME_TRANSLATED_ENGLISH
BOOK_SERIALNUM_1;GAYATRI KI DAINIK SADHNA
BOOK_SERIALNUM_2;how to deal with anachar
BOOK_SERIALNUM_3;Incarnation of heaven in married life
BOOK_SERIALNUM_4;gayatri dwarabhautik safaltaye
BOOK_SERIALNUM_5;Gayatri ke Pratyaksh Chamatkar
BOOK_SERIALNUM_6;gayatri yagya vidhaan
BOOK_SERIALNUM_7;gytri yagya vidhan part 2
BOOK_SERIALNUM_8;why and how
BOOK_SERIALNUM_9;expansion of sanjivani vidya
BOOK_SERIALNUM_10;women's gayatree sadhna
BOOK_SERIALNUM_11;test
BOOK_SERIALNUM_12;v2
BOOK_SERIALNUM_13;Yagyapavit dwara dharm arth kaam moksh ki prapat
BOOK_SERIALNUM_14;Emergence and Miracles of Inner Power
BOOK_SERIALNUM_15;Devasur battle of intimate life
BOOK_SERIALNUM_16;space science and research of indirect
BOOK_SERIALNUM_17;cast off superstition
BOOK_SERIALNUM_18;An eternal highway to perfect health
BOOK_SERIALNUM_19;Cut the shackles of ignorance - live a free life
BOOK_SERIALNUM_20;Ignorance is the reason for distortions in the field of religion
BOOK_SERIALNUM_21;ocean in ocean
BOOK_SERIALNUM_22;Vibhu in Molecule - Sagar in Gagar
BOOK_SERIALNUM_23;beware of over sentimentality
BOOK_SERIALNUM_24;extrasensory abilities not a coincidence fact
BOOK_SERIALNUM_25;background of psychic abilities
BOOK_SERIALNUM_26;background of psychic abilities
BOOK_SERIALNUM_27;extrasensory abilities not a coincidence fact
BOOK_SERIALNUM_28;Atharvaveda Part-1A
BOOK_SERIALNUM_29;Atharvaveda Part-1B
BOOK_SERIALNUM_30;Atharvaveda Part-1C
BOOK_SERIALNUM_31;Atharvaveda Part-2A
BOOK_SERIALNUM_32;Atharvaveda Part-2B
BOOK_SERIALNUM_33;Atharvaveda Part-2C
BOOK_SERIALNUM_34;amazing amazing but true -1
BOOK_SERIALNUM_35;amazing amazing but true-2
BOOK_SERIALNUM_36;amazing amazing but true-3
BOOK_SERIALNUM_37;Observing the invisible world through the window of dreams
BOOK_SERIALNUM_38;Observation of the invisible world through the window of dreams!
BOOK_SERIALNUM_39;spirituality a cash religion
BOOK_SERIALNUM_40;spirituality a cash religion
BOOK_SERIALNUM_41;a kind of spiritual summer
BOOK_SERIALNUM_42;a kind of spiritual summer
BOOK_SERIALNUM_43;understand the meaning of spirituality
BOOK_SERIALNUM_44;understand the meaning of spirituality
BOOK_SERIALNUM_45;Renaissance of the true form of spirituality
BOOK_SERIALNUM_46;bring spirituality alive
BOOK_SERIALNUM_47;bring spirituality alive
BOOK_SERIALNUM_48;What was spirituality? What happened ? What should be ?
BOOK_SERIALNUM_49;What was spirituality? What happened? What should be?
BOOK_SERIALNUM_50;Himalaya, the pole center of spiritual consciousness
BOOK_SERIALNUM_51;Spiritual outlook and eternal self-confidence
BOOK_SERIALNUM_52;devotion to religion
BOOK_SERIALNUM_53;gateway to spirituality
BOOK_SERIALNUM_54;gateway to spirituality
BOOK_SERIALNUM_55;Why spiritualism only
BOOK_SERIALNUM_56;spiritualistic materialism should be adopted
BOOK_SERIALNUM_57;How to deal with incest?
BOOK_SERIALNUM_58;Anadi Gurumantra Gayatri
BOOK_SERIALNUM_59;Eternal Guru Mantra - Gayatri
