BOOK_SERIAL_NUMBER;BOOK_NAME;BOOK_NAME_ENGLISH_TRANSLITERATED;BOOK_TYPE;BOOK_URL;BOOK_URL_HOME;PDF_URLS;NUM_MAX_PAGES
BOOK_SERIALNUM_1;GAYATRI KI DAINIK SADHna;GAYATRI KI DAINIK sadhana;Text Book Version;<a target='_blank' href='http://literature.awgp.org/book/gayatri_ki_dainik_sadhnaa/v1.1'>http://literature.awgp.org/book/gayatri_ki_dainik_sadhnaa/v1.1</a>;<a target='_blank' href='http://literature.awgp.org/book/gayatri_ki_dainik_sadhnaa/v1'>http://literature.awgp.org/book/gayatri_ki_dainik_sadhnaa/v1</a>;<a target='_blank' href=''></a>;<a target='_blank' href=''></a>
BOOK_SERIALNUM_2;anachar se kaise nipte;anachar se kise nipte;Text Book Version;<a target='_blank' href='http://literature.awgp.org/book/anachar_se_kaise_nipate/v2.1'>http://literature.awgp.org/book/anachar_se_kaise_nipate/v2.1</a>;<a target='_blank' href='http://literature.awgp.org/book/anachar_se_kaise_nipate/v2'>http://literature.awgp.org/book/anachar_se_kaise_nipate/v2</a>;<a target='_blank' href=''></a>;<a target='_blank' href='http://literature.awgp.org/book/anachar_se_kaise_nipate/v2.6'>http://literature.awgp.org/book/anachar_se_kaise_nipate/v2.6</a>
BOOK_SERIALNUM_3;dampatyajivan me swarg ka awtaran;dampatyajivan me swarg k awtaran;Text Book Version;<a target='_blank' href='http://literature.awgp.org/book/dampatyajivan_me_swarg_ka_awtaran/v1.1'>http://literature.awgp.org/book/dampatyajivan_me_swarg_ka_awtaran/v1.1</a>;<a target='_blank' href='http://literature.awgp.org/book/dampatyajivan_me_swarg_ka_awtaran/v1'>http://literature.awgp.org/book/dampatyajivan_me_swarg_ka_awtaran/v1</a>;<a target='_blank' href=''></a>;<a target='_blank' href='http://literature.awgp.org/book/dampatyajivan_me_swarg_ka_awtaran/v1.5'>http://literature.awgp.org/book/dampatyajivan_me_swarg_ka_awtaran/v1.5</a>
BOOK_SERIALNUM_4;gayatri dwarabhautik safaltaye;gayatri dwarabhutik safaltaye;Text Book Version;<a target='_blank' href='http://literature.awgp.org/book/gayatri_dwara_bhautik_safaltaye/v1.1'>http://literature.awgp.org/book/gayatri_dwara_bhautik_safaltaye/v1.1</a>;<a target='_blank' href='http://literature.awgp.org/book/gayatri_dwara_bhautik_safaltaye/v1'>http://literature.awgp.org/book/gayatri_dwara_bhautik_safaltaye/v1</a>;<a target='_blank' href=''></a>;<a target='_blank' href=''></a>
BOOK_SERIALNUM_5;gayatri ke pratyaksh chamatkar;gayatri ke pratyaksh chamatkar;Text Book Version;<a target='_blank' href='http://literature.awgp.org/book/gayatri_ke_pratyaksh_chamatkar/v1.1'>http://literature.awgp.org/book/gayatri_ke_pratyaksh_chamatkar/v1.1</a>;<a target='_blank' href='http://literature.awgp.org/book/gayatri_ke_pratyaksh_chamatkar/v1'>http://literature.awgp.org/book/gayatri_ke_pratyaksh_chamatkar/v1</a>;<a target='_blank' href=''></a>;<a target='_blank' href='http://literature.awgp.org/book/gayatri_ke_pratyaksh_chamatkar/v1.18'>http://literature.awgp.org/book/gayatri_ke_pratyaksh_chamatkar/v1.18</a>
BOOK_SERIALNUM_6;gayatri yagya vidhaan;gayatri yagya vidhaan;Text Book Version;<a target='_blank' href='http://literature.awgp.org/book/gayatri_yagya_vidhaan/v1.1'>http://literature.awgp.org/book/gayatri_yagya_vidhaan/v1.1</a>;<a target='_blank' href='http://literature.awgp.org/book/gayatri_yagya_vidhaan/v1'>http://literature.awgp.org/book/gayatri_yagya_vidhaan/v1</a>;<a target='_blank' href=''></a>;<a target='_blank' href=''></a>
BOOK_SERIALNUM_7;gytri yagya vidhan part 2;gytri yagya vidhan part 2;Text Book Version;<a target='_blank' href='http://literature.awgp.org/book/gayatree_yajn_vidhan/v2.1'>http://literature.awgp.org/book/gayatree_yajn_vidhan/v2.1</a>;<a target='_blank' href='http://literature.awgp.org/book/gayatree_yajn_vidhan/v2'>http://literature.awgp.org/book/gayatree_yajn_vidhan/v2</a>;<a target='_blank' href=''></a>;<a target='_blank' href='http://literature.awgp.org/book/gayatree_yajn_vidhan/v2.15'>http://literature.awgp.org/book/gayatree_yajn_vidhan/v2.15</a>
BOOK_SERIALNUM_8;karam kand kyun aur kaise;karam kand kyun aur kise;Scan Book Version;<a target='_blank' href='http://literature.awgp.org/book/karam_kand_kyun_aur_kaise/v1.1'>http://literature.awgp.org/book/karam_kand_kyun_aur_kaise/v1.1</a>;<a target='_blank' href='http://literature.awgp.org/book/karam_kand_kyun_aur_kaise/v1'>http://literature.awgp.org/book/karam_kand_kyun_aur_kaise/v1</a>;<a target='_blank' href=''></a>;<a target='_blank' href=''></a>
BOOK_SERIALNUM_9;sanjivani vidya ka vistar;sanjivani vidy k vistar;Scan Book Version;<a target='_blank' href='http://literature.awgp.org/book/Sanjiwani_Vidhya_Ka_Vistar/v5.1'>http://literature.awgp.org/book/Sanjiwani_Vidhya_Ka_Vistar/v5.1</a>;<a target='_blank' href='http://literature.awgp.org/book/Sanjiwani_Vidhya_Ka_Vistar/v5'>http://literature.awgp.org/book/Sanjiwani_Vidhya_Ka_Vistar/v5</a>;<a target='_blank' href='http://literature.awgp.org/var/node/78095/Sanjivani_Vidhya_Ka_Vistar.pdf'>http://literature.awgp.org/var/node/78095/Sanjivani_Vidhya_Ka_Vistar.pdf</a>;<a target='_blank' href='http://literature.awgp.org/book/Sanjiwani_Vidhya_Ka_Vistar/v5.32'>http://literature.awgp.org/book/Sanjiwani_Vidhya_Ka_Vistar/v5.32</a>
BOOK_SERIALNUM_10;striyon ki gayatree sadhna;striyon ki gayatri sadhana;Text Book Version;<a target='_blank' href='http://literature.awgp.org/striyon_ki_gayatree_sadhna.1'>http://literature.awgp.org/striyon_ki_gayatree_sadhna.1</a>;<a target='_blank' href='http://literature.awgp.org/striyon_ki_gayatree_sadhna'>http://literature.awgp.org/striyon_ki_gayatree_sadhna</a>;<a target='_blank' href=''></a>;<a target='_blank' href=''></a>
