DATETIME,TEMPERATURE
20200114T00:02:01,temp=37.0'C
20200114T00:04:01,temp=37.0'C
20200114T00:06:01,temp=38.0'C
20200114T00:08:01,temp=37.0'C
20200114T00:10:01,temp=38.0'C
20200114T00:12:01,temp=37.0'C
20200114T00:14:01,temp=37.0'C
20200114T00:16:01,temp=37.0'C
20200114T00:18:02,temp=36.0'C
20200114T00:20:01,temp=37.0'C
20200114T00:22:01,temp=37.0'C
20200114T00:24:01,temp=37.0'C
20200114T00:26:01,temp=36.0'C
20200114T00:28:01,temp=36.0'C
20200114T00:30:01,temp=36.0'C
20200114T00:32:02,temp=37.0'C
20200114T00:34:01,temp=36.0'C
20200114T00:36:01,temp=37.0'C
20200114T00:38:01,temp=38.0'C
20200114T00:40:01,temp=37.0'C
20200114T00:42:01,temp=38.0'C
20200114T00:44:01,temp=37.0'C
20200114T00:46:01,temp=37.0'C
20200114T00:48:01,temp=37.0'C
20200114T00:50:01,temp=38.0'C
20200114T00:52:01,temp=37.0'C
20200114T00:54:01,temp=38.0'C
20200114T00:56:01,temp=38.0'C
20200114T00:58:01,temp=38.0'C
20200114T01:00:01,temp=37.0'C
20200114T01:02:01,temp=37.0'C
20200114T01:04:01,temp=37.0'C
20200114T01:06:01,temp=36.0'C
20200114T01:08:01,temp=37.0'C
20200114T01:10:01,temp=37.0'C
20200114T01:12:01,temp=37.0'C
20200114T01:14:01,temp=38.0'C
20200114T01:16:02,temp=37.0'C
20200114T01:18:01,temp=38.0'C
20200114T01:20:01,temp=37.0'C
20200114T01:22:01,temp=37.0'C
20200114T01:24:01,temp=36.0'C
20200114T01:26:01,temp=37.0'C
20200114T01:28:01,temp=37.0'C
20200114T01:30:01,temp=36.0'C
20200114T01:32:01,temp=37.0'C
20200114T01:34:01,temp=36.0'C
20200114T01:36:01,temp=37.0'C
20200114T01:38:01,temp=36.0'C
20200114T01:40:01,temp=38.0'C
20200114T01:42:01,temp=36.0'C
20200114T01:44:01,temp=37.0'C
20200114T01:46:01,temp=37.0'C
20200114T01:48:01,temp=37.0'C
20200114T01:50:01,temp=36.0'C
20200114T01:52:01,temp=38.0'C
20200114T01:54:01,temp=39.0'C
20200114T01:56:01,temp=38.0'C
20200114T01:58:02,temp=37.0'C
20200114T02:00:01,temp=37.0'C
20200114T02:02:01,temp=37.0'C
20200114T02:04:01,temp=37.0'C
20200114T02:06:01,temp=37.0'C
20200114T02:08:01,temp=37.0'C
20200114T02:10:01,temp=37.0'C
20200114T02:12:02,temp=37.0'C
20200114T02:14:01,temp=38.0'C
20200114T02:16:01,temp=37.0'C
20200114T02:18:01,temp=37.0'C
20200114T02:20:01,temp=37.0'C
20200114T02:22:01,temp=37.0'C
20200114T02:24:01,temp=37.0'C
20200114T02:26:01,temp=37.0'C
20200114T02:28:01,temp=37.0'C
20200114T02:30:01,temp=36.0'C
20200114T02:32:01,temp=37.0'C
20200114T02:34:01,temp=36.0'C
20200114T02:36:01,temp=36.0'C
20200114T02:38:01,temp=37.0'C
