DATETIME,TEMPERATURE
20200115T00:02:01,38.0
20200115T00:04:01,37.0
20200115T00:06:01,37.0
20200115T00:08:01,37.0
20200115T00:10:01,36.0
20200115T00:12:01,37.0
20200115T00:14:01,37.0
20200115T00:16:01,37.0
20200115T00:18:01,37.0
20200115T00:20:01,37.0
20200115T00:22:02,37.0
20200115T00:24:01,36.0
20200115T00:26:01,37.0
20200115T00:28:01,36.0
20200115T00:30:01,36.0
20200115T00:32:01,36.0
20200115T00:34:01,37.0
20200115T00:36:02,36.0
20200115T00:38:01,38.0
20200115T00:40:01,36.0
20200115T00:42:01,36.0
20200115T00:44:01,36.0
20200115T00:46:01,36.0
20200115T00:48:01,38.0
20200115T00:50:02,37.0
20200115T00:52:01,37.0
20200115T00:54:01,37.0
20200115T00:56:01,37.0
20200115T00:58:01,36.0
20200115T01:00:01,37.0
20200115T01:02:01,37.0
20200115T01:04:01,37.0
20200115T01:06:01,37.0
20200115T01:08:01,38.0
20200115T01:10:01,37.0
20200115T01:12:01,37.0
20200115T01:14:01,37.0
20200115T01:16:01,37.0
20200115T01:18:01,38.0
20200115T01:20:01,36.0
20200115T01:22:01,37.0
20200115T01:24:01,37.0
20200115T01:26:01,37.0
20200115T01:28:01,38.0
20200115T01:30:01,37.0
20200115T01:32:01,37.0
20200115T01:34:01,37.0
20200115T01:36:01,37.0
20200115T01:38:01,37.0
20200115T01:40:01,38.0
20200115T01:42:01,37.0
20200115T01:44:01,37.0
20200115T01:46:02,37.0
20200115T01:48:01,38.0
20200115T01:50:01,37.0
20200115T01:52:01,37.0
20200115T01:54:01,37.0
20200115T01:56:01,37.0
20200115T01:58:01,36.0
20200115T02:00:02,36.0
20200115T02:02:01,38.0
20200115T02:04:01,36.0
20200115T02:06:01,37.0
20200115T02:08:01,36.0
20200115T02:10:01,37.0
20200115T02:12:01,37.0
20200115T02:14:02,37.0
20200115T02:16:01,37.0
20200115T02:18:01,37.0
20200115T02:20:01,37.0
20200115T02:22:01,37.0
20200115T02:24:01,37.0
20200115T02:26:01,37.0
20200115T02:28:01,37.0
20200115T02:30:01,37.0
20200115T02:32:01,37.0
20200115T02:34:01,37.0
20200115T02:36:01,38.0
20200115T02:38:01,36.0
20200115T02:40:01,37.0
20200115T02:42:02,37.0
20200115T02:44:01,37.0
20200115T02:46:01,36.0
20200115T02:48:01,38.0
20200115T02:50:01,36.0
20200115T02:52:01,37.0
20200115T02:54:01,37.0
20200115T02:56:02,37.0
20200115T02:58:01,37.0
20200115T03:00:01,37.0
20200115T03:02:01,37.0
20200115T03:04:01,37.0
20200115T03:06:01,36.0
20200115T03:08:01,36.0
20200115T03:10:02,37.0
20200115T03:12:01,38.0
20200115T03:14:01,38.0
20200115T03:16:01,37.0
20200115T03:18:01,36.0
20200115T03:20:01,36.0
20200115T03:22:01,37.0
20200115T03:24:01,36.0
20200115T03:26:01,37.0
20200115T03:28:01,37.0
20200115T03:30:01,37.0
20200115T03:32:01,37.0
20200115T03:34:01,36.0
20200115T03:36:01,37.0
20200115T03:38:01,37.0
20200115T03:40:01,36.0
20200115T03:42:01,38.0
20200115T03:44:01,37.0
20200115T03:46:01,37.0
20200115T03:48:01,37.0
20200115T03:50:01,38.0
20200115T03:52:02,38.0
20200115T03:54:01,37.0
20200115T03:56:01,37.0
20200115T03:58:01,38.0
20200115T04:00:01,36.0
20200115T04:02:01,37.0
20200115T04:04:01,36.0
20200115T04:06:02,38.0
20200115T04:08:01,37.0
20200115T04:10:01,36.0
20200115T04:12:01,38.0
20200115T04:14:01,38.0
20200115T04:16:01,36.0
20200115T04:18:01,37.0
20200115T04:20:01,37.0
20200115T04:22:01,37.0
20200115T04:24:01,36.0
20200115T04:26:01,36.0
20200115T04:28:01,37.0
20200115T04:30:01,37.0
20200115T04:32:01,38.0
20200115T04:34:02,37.0
20200115T04:36:01,37.0
20200115T04:38:01,37.0
20200115T04:40:01,37.0
20200115T04:42:01,38.0
20200115T04:44:01,38.0
20200115T04:46:01,38.0
20200115T04:48:02,38.0
20200115T04:50:01,38.0
20200115T04:52:01,37.0
20200115T04:54:01,36.0
20200115T04:56:01,37.0
20200115T04:58:01,37.0
20200115T05:00:01,37.0
20200115T05:02:01,37.0
20200115T05:04:01,37.0
20200115T05:06:01,38.0
20200115T05:08:01,37.0
20200115T05:10:01,37.0
20200115T05:12:01,37.0
20200115T05:14:01,37.0
20200115T05:16:01,37.0
20200115T05:18:01,37.0
20200115T05:20:01,37.0
20200115T05:22:01,38.0
20200115T05:24:02,37.0
20200115T05:26:01,38.0
20200115T05:28:01,37.0
20200115T05:30:01,37.0
20200115T05:32:01,37.0
20200115T05:34:01,37.0
20200115T05:36:01,37.0
20200115T05:38:02,37.0
20200115T05:40:01,36.0
20200115T05:42:01,37.0
20200115T05:44:01,36.0
20200115T05:46:01,38.0
20200115T05:48:01,37.0
20200115T05:50:01,37.0
20200115T05:52:01,37.0
20200115T05:54:01,37.0
20200115T05:56:01,37.0
20200115T05:58:01,38.0
20200115T06:00:01,38.0
20200115T06:02:01,37.0
20200115T06:04:01,37.0
20200115T06:06:01,37.0
20200115T06:08:01,37.0
20200115T06:10:01,37.0
20200115T06:12:01,37.0
20200115T06:14:01,36.0
20200115T06:16:01,37.0
20200115T06:18:01,37.0
20200115T06:20:02,37.0
20200115T06:22:01,37.0
20200115T06:24:01,38.0
20200115T06:26:02,38.0
20200115T06:28:01,37.0
20200115T06:30:01,38.0
20200115T06:32:01,37.0
20200115T06:34:01,38.0
20200115T06:36:01,38.0
20200115T06:38:01,36.0
20200115T06:40:01,37.0
20200115T06:42:01,38.0
20200115T06:44:01,37.0
20200115T06:46:01,37.0
20200115T06:48:01,37.0
20200115T06:50:01,38.0
20200115T06:52:01,37.0
20200115T06:54:01,36.0
20200115T06:56:01,37.0
20200115T06:58:01,37.0
20200115T07:00:01,37.0
20200115T07:02:01,37.0
20200115T07:04:01,36.0
20200115T07:06:01,37.0
20200115T07:08:01,35.0
20200115T07:10:02,36.0
20200115T07:12:01,37.0
20200115T07:14:01,37.0
20200115T07:16:01,37.0
20200115T07:18:01,37.0
20200115T07:20:01,38.0
20200115T07:22:01,37.0
20200115T07:24:01,38.0
20200115T07:26:01,37.0
20200115T07:28:01,37.0
20200115T07:30:01,37.0
20200115T07:32:01,37.0
20200115T07:34:01,37.0
20200115T07:36:01,37.0
20200115T07:38:01,37.0
20200115T07:40:01,37.0
20200115T07:42:01,38.0
20200115T07:44:01,37.0
20200115T07:46:01,37.0
20200115T07:48:01,37.0
20200115T07:50:01,36.0
20200115T07:52:02,37.0
20200115T07:54:01,36.0
20200115T07:56:01,37.0
20200115T07:58:01,38.0
20200115T08:00:01,37.0
20200115T08:02:01,37.0
20200115T08:04:01,36.0
20200115T08:06:02,37.0
20200115T08:08:01,38.0
20200115T08:10:01,36.0
20200115T08:12:01,36.0
20200115T08:14:01,38.0
20200115T08:16:01,38.0
20200115T08:18:01,36.0
20200115T08:20:01,37.0
20200115T08:22:01,38.0
20200115T08:24:01,38.0
20200115T08:26:01,36.0
20200115T08:28:01,37.0
20200115T08:30:01,37.0
20200115T08:32:01,35.0
20200115T08:34:01,36.0
20200115T08:36:01,36.0
20200115T08:38:01,38.0
20200115T08:40:01,37.0
20200115T08:42:01,37.0
20200115T08:44:01,37.0
20200115T08:46:01,38.0
20200115T08:48:02,38.0
20200115T08:50:01,37.0
20200115T08:52:01,37.0
20200115T08:54:01,38.0
20200115T08:56:01,37.0
20200115T08:58:01,38.0
20200115T09:00:01,36.0
20200115T09:02:02,38.0
20200115T09:04:01,38.0
20200115T09:06:01,36.0
20200115T09:08:01,37.0
20200115T09:10:01,38.0
20200115T09:12:01,37.0
20200115T09:14:01,37.0
20200115T09:16:01,37.0
20200115T09:18:01,38.0
20200115T09:20:01,37.0
20200115T09:22:01,37.0
20200115T09:24:01,36.0
20200115T09:26:01,38.0
20200115T09:28:01,37.0
20200115T09:30:02,38.0
20200115T09:32:01,37.0
20200115T09:34:01,37.0
20200115T09:36:01,37.0
20200115T09:38:01,38.0
20200115T09:40:01,37.0
20200115T09:42:01,37.0
20200115T09:44:02,37.0
20200115T09:46:01,36.0
20200115T09:48:01,37.0
20200115T09:50:01,37.0
20200115T09:52:01,37.0
20200115T09:54:01,37.0
20200115T09:56:01,37.0
20200115T09:58:02,37.0
20200115T10:00:01,37.0
20200115T10:02:01,38.0
20200115T10:04:01,37.0
20200115T10:06:01,38.0
20200115T10:08:01,38.0
20200115T10:10:01,37.0
20200115T10:12:01,37.0
20200115T10:14:01,37.0
20200115T10:16:01,38.0
20200115T10:18:01,37.0
20200115T10:20:01,36.0
20200115T10:22:01,37.0
20200115T10:24:01,37.0
20200115T10:26:02,37.0
20200115T10:28:01,37.0
20200115T10:30:01,38.0
20200115T10:32:01,37.0
20200115T10:34:01,37.0
20200115T10:36:01,37.0
20200115T10:38:01,37.0
20200115T10:40:02,36.0
20200115T10:42:01,37.0
20200115T10:44:01,37.0
20200115T10:46:01,36.0
20200115T10:48:01,37.0
